"","V1","V2"
"1",0.00177591399525491,0.00120889581169955
"2",0.0135968876199961,0.0150447278772506
"3",0.0245187137809579,0.024261194116284
"4",0.0380706600686003,0.0346018494707813
"5",0.051238938192572,0.0457999171037391
"6",0.0588215193784898,0.0537240288234692
"7",0.0684901141729277,0.0644730163283532
"8",0.0770044391824406,0.0738094710048349
"9",0.085774600354123,0.083173559504939
"10",0.0964035614971921,0.0915256406112581
"11",0.107267373731307,0.102023763081911
"12",0.115449286046402,0.113863028510315
"13",0.125127970272456,0.121359953912221
"14",0.135049730643311,0.132822063300796
"15",0.145749307132291,0.145918533244448
"16",0.153731578945294,0.153973342943584
"17",0.163026108068007,0.1647514421968
"18",0.173202348940174,0.173853200360416
"19",0.182694791606009,0.183833737588184
"20",0.194200027598399,0.194675192935053
"21",0.204126739514006,0.202526572336935
"22",0.212149964709413,0.213090287079221
"23",0.223010834712349,0.222377262323575
"24",0.235594072039931,0.232086434650716
"25",0.245669393084074,0.242629045408664
"26",0.25503875507839,0.250844820185496
"27",0.26510678643241,0.259365684400678
"28",0.276354062265083,0.268999823255579
"29",0.285989440846853,0.277814621158156
"30",0.294139240324137,0.286848698658506
