"","V1","V2","V3"
"1",0.249518072289157,0.0685542168674699,0
"2",0.616746987951807,0.119578313253012,0.232349397590361
"3",0.702530120481928,0.158855421686747,0.339036144578313
"4",0.752650602409638,0.196807228915663,0.407349397590361
"5",0.786204819277109,0.226987951807229,0.457289156626506
"6",0.810301204819277,0.25433734939759,0.489397590361446
"7",0.830963855421686,0.280421686746988,0.521265060240964
"8",0.845240963855421,0.302168674698795,0.55289156626506
"9",0.859638554216867,0.325240963855422,0.576506024096386
"10",0.870240963855421,0.347530120481927,0.593614457831325
"11",0.879939759036144,0.366927710843374,0.607590361445783
"12",0.88921686746988,0.383795180722892,0.621506024096386
"13",0.898433734939759,0.400060240963855,0.638975903614458
"14",0.906807228915662,0.413975903614458,0.651024096385542
"15",0.914819277108433,0.430060240963855,0.660843373493976
"16",0.919638554216867,0.44433734939759,0.670662650602409
"17",0.924939759036145,0.459638554216867,0.680240963855422
"18",0.929036144578314,0.470421686746988,0.689156626506024
"19",0.933975903614458,0.483132530120482,0.695963855421687
"20",0.93710843373494,0.495481927710843,0.705421686746988
"21",0.940843373493976,0.506686746987952,0.712168674698795
"22",0.943795180722891,0.518132530120482,0.719698795180723
"23",0.946204819277108,0.530481927710843,0.728313253012048
"24",0.948975903614457,0.538493975903615,0.73433734939759
"25",0.951746987951807,0.547650602409638,0.741746987951807
"26",0.953373493975903,0.559036144578313,0.748433734939759
"27",0.956265060240964,0.569759036144578,0.75433734939759
"28",0.958734939759036,0.579277108433735,0.75867469879518
"29",0.961204819277108,0.587349397590362,0.764698795180723
"30",0.963192771084337,0.597951807228916,0.76921686746988
