"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.3378,0.448,0.487,0.4931,0.5063,0.5165,0.516,0.5333,0.5296,0.5447
"2",0,0,0,0,0,0,0,0,0,0
"3",0.9252,0.9233,0.9347,0.9259,0.9335,0.926700000000001,0.9297,0.9281,0.9319,0.9273
"4",0.9178,0.9233,0.934,0.9245,0.9341,0.9253,0.9288,0.9279,0.9314,0.9273
