"","V1","V2"
"1",0.111127599475611,0.0516680709471318
"2",0.563766276469025,0.521591088551269
"3",0.664201919550171,0.63060376161957
"4",0.735541666168908,0.697585566702502
"5",0.769660974866726,0.743051562978928
"6",0.800913250423027,0.768206120675928
"7",0.816763988290648,0.795478098033164
"8",0.835721929401268,0.813963857043623
"9",0.845581066570073,0.828468425076739
"10",0.855776951616276,0.843867908179358
"11",0.866744357204842,0.855097918385971
"12",0.874245811348932,0.865839073274273
"13",0.88222188832365,0.875512985855396
"14",0.889119274439407,0.881782387053746
"15",0.894985109978749,0.887560455698025
"16",0.899249165358047,0.892270983889203
"17",0.905177310766374,0.897843002663353
"18",0.910530245724486,0.900468491697293
"19",0.915698405019767,0.905855730687131
"20",0.922777431053835,0.910469308458468
"21",0.926813606095109,0.91412961841812
"22",0.931022798373345,0.918252721513117
"23",0.934937527989421,0.922174902914383
"24",0.9384710233853,0.925982103856849
"25",0.941591848542684,0.929520929910631
"26",0.944434342967519,0.932073301221971
"27",0.9481690032224,0.934204585757405
"28",0.949897630119791,0.936695864986293
"29",0.951342411330914,0.938198992942339
"30",0.952802323040784,0.940271032984188
