"","V1","V2","V3"
"1",0,0.00241666666666667,0
"2",0.0443333333333333,0.00458333333333334,0
"3",0.149166666666667,0.00675,0
"4",0.232083333333333,0.00866666666666667,0
"5",0.3055,0.0110833333333333,0.00108333333333333
"6",0.35125,0.0138333333333333,0.00825
"7",0.386833333333333,0.0160833333333333,0.0111666666666667
"8",0.410916666666667,0.0174166666666667,0.0165833333333333
"9",0.430333333333333,0.0194166666666667,0.0185
"10",0.45825,0.0205,0.02275
"11",0.479083333333333,0.0225,0.0329166666666667
"12",0.500666666666667,0.02475,0.0394166666666667
"13",0.518333333333333,0.0290833333333333,0.0450833333333333
"14",0.534416666666666,0.03075,0.0489166666666667
"15",0.5475,0.03325,0.0566666666666667
"16",0.561916666666667,0.0358333333333333,0.0585
"17",0.5725,0.0385,0.0650833333333333
"18",0.5835,0.04075,0.068
"19",0.595666666666667,0.0425833333333333,0.0719166666666667
"20",0.610333333333333,0.0453333333333333,0.08175
"21",0.61675,0.048,0.0825
"22",0.624,0.0505,0.0844166666666666
"23",0.635166666666666,0.0521666666666667,0.0876666666666667
"24",0.642083333333333,0.0554166666666666,0.0890833333333333
"25",0.652916666666666,0.0596666666666667,0.0995833333333334
"26",0.660666666666667,0.0635,0.101916666666667
"27",0.668916666666666,0.0670833333333333,0.10375
"28",0.676083333333333,0.0704166666666667,0.110416666666667
"29",0.68425,0.0736666666666667,0.114333333333333
"30",0.689166666666666,0.0761666666666667,0.118833333333333
