"","V1","V2","V3","V4","V5","V6"
"1",0.0024,0.0883,0.5153,0.8748,0.9858,0.9996
"2",0,0,0,0,0,0
"3",0.1713,0.65,0.9269,0.993,0.9994,1
"4",0.1613,0.6485,0.9272,0.993,0.9994,1
