"","V1","V2","V3"
"1",0,0.01,0
"2",0.00597163950396263,0.0075,0
"3",0.0150952435578079,0.00916666666666666,0
"4",0.0241233878751786,0.0316666666666667,0
"5",0.0350998934044876,0.0259478021978022,0.00380952380952381
"6",0.0484825631119885,0.0298366910866911,0.0162312644355988
"7",0.0550077620823401,0.0309326506826507,0.0204812644355988
"8",0.0629628152423151,0.0494207459207459,0.0269164292707636
"9",0.069024317316887,0.0533096348096348,0.0295553181596525
"10",0.0803164504075463,0.0587263014763015,0.0346079644381053
"11",0.0904041376629556,0.0621277056277056,0.0484544556661754
"12",0.10267106793166,0.0602146464646465,0.0601141355803445
"13",0.113292193508861,0.0670341047841048,0.0704514604418629
"14",0.123475657392469,0.0689322621822622,0.0802545751029201
"15",0.132238401100798,0.0933697413697414,0.0919112173848989
"16",0.143344623143538,0.105015556339086,0.0945890135653267
"17",0.152611911369217,0.113260383407442,0.10918068147596
"18",0.162281347394593,0.109586172352796,0.117045868363526
"19",0.169901668412357,0.11659138446095,0.123428519776422
"20",0.18491555765948,0.120599320968886,0.150968611010431
"21",0.192649507126968,0.12367309441766,0.152254123038153
"22",0.203599011265076,0.131383446930644,0.155111566807509
"23",0.217148239673372,0.139321584091863,0.162537879324705
"24",0.226643399648454,0.153233960398047,0.167189029415566
"25",0.240149073341927,0.165645897554533,0.18793316438333
"26",0.251502765348697,0.174894822348349,0.191948336640971
"27",0.261464720578518,0.185428452074316,0.198753691763369
"28",0.268618231983238,0.198387249918984,0.215034096773405
"29",0.300351206363784,0.204603183389054,0.223929956071951
"30",0.306288020665005,0.217641100406815,0.232969073550485
