"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"1",0.3613,0.4539,0.4764,0.5114,0.5153,0.5279,0.5213,0.5283,0.5383,0.5372
"2",0,0,0,0,0,0,0,0,0,0
"3",0.5676,0.5376,0.5278,0.5498,0.5503,0.5464,0.5401,0.5374,0.5328,0.5426
"4",0.5421,0.5395,0.5264,0.5515,0.5484,0.5504,0.5392,0.5387,0.5344,0.5447
