"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0,0,0,0.00840140524405771,0.00706076655743493,0.000686274509803922,0.00870521285154705,0.00580080932031197,0.00679635003179812
"2",0.014960252090661,0.0112619047619048,0,0.0173600305748893,0.0141242823587328,0.0137042533547243,0.0185879236405553,0.0123719826760039,0.017032131352449
"3",0.0261522119956566,0.0117435064935065,0.00596271698903278,0.0300609853036633,0.0215562336729146,0.0226255406005007,0.0259184523984557,0.0191578517729634,0.0247302058056669
"4",0.0346048210122537,0.0178814241314241,0.0194936996758553,0.0406441960179542,0.0278181894639762,0.0315233220562918,0.0349403861865051,0.0251241077790463,0.0338338388084181
"5",0.0431751654500851,0.0314346764346764,0.0323190879478864,0.0493222909450051,0.0358075304044832,0.0428538168410221,0.0467807223883786,0.0322988623109116,0.0454698995346904
"6",0.0516214828658556,0.0358245684054508,0.0426531129437569,0.0596958776818761,0.041741862920809,0.0533503660448631,0.0542065958604478,0.0390166248148904,0.0560715110211404
"7",0.0605098397974869,0.0445258419770804,0.0594165140389139,0.0702896945870461,0.0484402193282715,0.0637371511616189,0.0664735644414807,0.0468595659284285,0.0664067258336487
"8",0.0725790257082474,0.0509693186500462,0.0704620782570503,0.0799949848063026,0.0578565297668211,0.0750701300788859,0.0787631070643146,0.0537401818663285,0.0766741037168016
"9",0.0834436096085124,0.0618760566402981,0.0750914391432081,0.089311638822652,0.0649770313558919,0.0844903052738912,0.0886991966104919,0.0617116250193739,0.0863103543077903
"10",0.0950400983844202,0.0673779764978774,0.0805332799929254,0.0987507020206056,0.073669445991738,0.0952775965858008,0.096507440606093,0.0668964994967773,0.0962497241180153
"11",0.108067142089491,0.0770198945208574,0.0967070526612688,0.108756629372969,0.0797322996311263,0.106665455956507,0.107416955311829,0.0741903773628449,0.105212820212158
"12",0.120547392200481,0.0861492181904041,0.110653282741356,0.117969411585804,0.0857679965722904,0.117379253362536,0.116609538392925,0.0812961742672242,0.114047199073765
"13",0.128518455945395,0.0920484999346262,0.121736143964879,0.126938502404596,0.0931120264310875,0.124875773300424,0.126458423655079,0.0877978140837781,0.123846553020961
"14",0.138591367950161,0.0979914529524737,0.130644130525017,0.137085888844711,0.0998517494220889,0.134163883310949,0.135428470546627,0.0939727265991814,0.133777681109238
"15",0.147889745128266,0.104578964742831,0.137510853691995,0.148196308117172,0.106586679815977,0.142326364913542,0.146443374937113,0.101288725420841,0.141726046183183
"16",0.154731316149591,0.110774290715604,0.144615297805784,0.160454859930251,0.115916511081772,0.149019661443589,0.156315745965232,0.107747380921752,0.150624548287095
"17",0.164879661798874,0.113849497721411,0.152933230339446,0.171365837058323,0.122683939684689,0.159228129839728,0.167581412741961,0.113541494161351,0.159579627217366
"18",0.173843459386432,0.123017994745573,0.163365330541344,0.180677955620799,0.127610678491616,0.16985257899783,0.176093030031225,0.119265333386944,0.170840934066156
"19",0.183805315196885,0.125455966445123,0.174056215412094,0.193023920959322,0.135122709643224,0.180953088983098,0.187278113296738,0.12734387298161,0.180678826579861
"20",0.195169560072406,0.130209522369321,0.18448603619687,0.204815690869775,0.141239206881416,0.193002497705428,0.198007376900923,0.134862753305629,0.1905085608505
"21",0.204234085977923,0.139932082565366,0.193860974824627,0.213997956325016,0.149727354125488,0.199591789225088,0.206513713677551,0.142263774852751,0.201007499852851
"22",0.214167762667567,0.148420545064683,0.201011100146363,0.224541298734678,0.155430824804729,0.205437215572712,0.216936594873616,0.151323581385691,0.211961045996092
"23",0.225469464115261,0.155737924753833,0.21279033127852,0.23403129456983,0.164755308871793,0.214042431232293,0.227364637975866,0.158904164209129,0.221902111589667
"24",0.236548202356466,0.164608261483555,0.22046242458476,0.244305238540674,0.172125454402297,0.225768844176971,0.237097532831491,0.166127896630701,0.231453200180069
"25",0.248404639313785,0.170486571897232,0.232075960583876,0.255819596696202,0.177943628648124,0.236930426685853,0.247957155699836,0.174147746873185,0.244547752254627
"26",0.256852701071853,0.179224866779226,0.240348631320822,0.264620792830172,0.185505570069387,0.246348696106194,0.258138853169434,0.180467664926014,0.255328276756646
"27",0.267564622991345,0.184529127832661,0.251247335367514,0.277031267014871,0.190564324673336,0.254867310557452,0.268541449555304,0.191111080502985,0.265482454285622
"28",0.27779825396936,0.192432405687083,0.259565936563462,0.287277819726027,0.198092466515496,0.264339861228977,0.27814854803808,0.198745503356512,0.275244203574408
"29",0.286210513289405,0.199306726153912,0.265349041824615,0.297843015409329,0.205284640032786,0.274426557282279,0.286830704725718,0.206840301237396,0.284061461881639
"30",0.295584268108328,0.20692965604958,0.272181934834206,0.308454436416828,0.210993128023852,0.284129208300836,0.297417883768758,0.212973462491705,0.29368272375897
