"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"dp_adapt_power10",0.627118644067797,0.822033898305085,0.728813559322034,0.677966101694915,0.822033898305085,0.864406779661017,0.754237288135593,0.720338983050847,0.864406779661017,0.822033898305085,0.864406779661017,0.813559322033898,0.88135593220339,0.796610169491525,0.76271186440678,0.686440677966102,0.76271186440678,0,0.838983050847458,0.813559322033898,0.677966101694915,0.805084745762712,0.85593220338983,0.88135593220339,0.73728813559322,0.813559322033898,0.796610169491525,0.728813559322034,0.847457627118644,0.813559322033898,0.872881355932203,0,0.838983050847458,0.711864406779661,0.847457627118644,0.788135593220339,0.771186440677966,0.754237288135593,0.11864406779661,0.85593220338983,0.822033898305085,0.771186440677966,0.889830508474576,0.838983050847458,0.872881355932203,0.720338983050847,0.847457627118644,0.728813559322034,0.813559322033898,0.838983050847458,0.73728813559322,0.805084745762712,0.805084745762712,0.822033898305085,0.745762711864407,0.813559322033898,0.788135593220339,0.796610169491525,0.838983050847458,0.76271186440678,0.779661016949153,0.73728813559322,0.85593220338983,0.779661016949153,0.76271186440678,0.686440677966102,0.686440677966102,0.754237288135593,0.838983050847458,0.838983050847458,0.85593220338983,0.720338983050847,0.788135593220339,0.788135593220339,0.661016949152542,0.85593220338983,0.822033898305085,0.838983050847458,0.822033898305085,0.711864406779661,0.88135593220339,0.64406779661017,0.838983050847458,0,0.779661016949153,0.703389830508475,0.838983050847458,0.838983050847458,0.720338983050847,0.796610169491525,0.85593220338983,0.796610169491525,0.796610169491525,0.805084745762712,0.813559322033898,0.703389830508475,0.805084745762712,0.771186440677966,0.745762711864407,0.872881355932203
"dp_adapt_power11",0.64406779661017,0.822033898305085,0.754237288135593,0.686440677966102,0.847457627118644,0.864406779661017,0.771186440677966,0.728813559322034,0.864406779661017,0.822033898305085,0.864406779661017,0.847457627118644,0.88135593220339,0.813559322033898,0.771186440677966,0.694915254237288,0.771186440677966,0,0.838983050847458,0.813559322033898,0.720338983050847,0.813559322033898,0.85593220338983,0.88135593220339,0.788135593220339,0.822033898305085,0.805084745762712,0.745762711864407,0.872881355932203,0.813559322033898,0.872881355932203,0,0.847457627118644,0.788135593220339,0.847457627118644,0.838983050847458,0.796610169491525,0.771186440677966,0.161016949152542,0.85593220338983,0.822033898305085,0.796610169491525,0.889830508474576,0.838983050847458,0.872881355932203,0.728813559322034,0.847457627118644,0.73728813559322,0.813559322033898,0.838983050847458,0.754237288135593,0.830508474576271,0.805084745762712,0.822033898305085,0.754237288135593,0.85593220338983,0.796610169491525,0.805084745762712,0.838983050847458,0.771186440677966,0.779661016949153,0.745762711864407,0.85593220338983,0.779661016949153,0.796610169491525,0.694915254237288,0.703389830508475,0.830508474576271,0.838983050847458,0.838983050847458,0.864406779661017,0.728813559322034,0.788135593220339,0.796610169491525,0.661016949152542,0.85593220338983,0.847457627118644,0.864406779661017,0.822033898305085,0.711864406779661,0.88135593220339,0.64406779661017,0.838983050847458,0,0.779661016949153,0.711864406779661,0.838983050847458,0.838983050847458,0.728813559322034,0.796610169491525,0.85593220338983,0.813559322033898,0.796610169491525,0.805084745762712,0.822033898305085,0.728813559322034,0.805084745762712,0.779661016949153,0.754237288135593,0.872881355932203
"dp_adapt_power12",0.64406779661017,0.822033898305085,0.771186440677966,0.686440677966102,0.847457627118644,0.864406779661017,0.830508474576271,0.728813559322034,0.872881355932203,0.822033898305085,0.864406779661017,0.847457627118644,0.88135593220339,0.813559322033898,0.771186440677966,0.703389830508475,0.788135593220339,0,0.838983050847458,0.813559322033898,0.73728813559322,0.830508474576271,0.85593220338983,0.906779661016949,0.788135593220339,0.822033898305085,0.822033898305085,0.745762711864407,0.872881355932203,0.838983050847458,0.872881355932203,0,0.847457627118644,0.788135593220339,0.85593220338983,0.838983050847458,0.796610169491525,0.771186440677966,0.161016949152542,0.864406779661017,0.822033898305085,0.796610169491525,0.889830508474576,0.85593220338983,0.872881355932203,0.73728813559322,0.847457627118644,0.73728813559322,0.813559322033898,0.838983050847458,0.771186440677966,0.85593220338983,0.813559322033898,0.838983050847458,0.76271186440678,0.85593220338983,0.805084745762712,0.805084745762712,0.88135593220339,0.771186440677966,0.779661016949153,0.771186440677966,0.889830508474576,0.779661016949153,0.796610169491525,0.711864406779661,0.754237288135593,0.838983050847458,0.838983050847458,0.838983050847458,0.88135593220339,0.73728813559322,0.788135593220339,0.796610169491525,0.661016949152542,0.85593220338983,0.847457627118644,0.872881355932203,0.85593220338983,0.711864406779661,0.88135593220339,0.652542372881356,0.864406779661017,0,0.805084745762712,0.771186440677966,0.872881355932203,0.838983050847458,0.728813559322034,0.805084745762712,0.85593220338983,0.830508474576271,0.796610169491525,0.838983050847458,0.822033898305085,0.728813559322034,0.805084745762712,0.788135593220339,0.754237288135593,0.889830508474576
"dp_adapt_power13",0.64406779661017,0.822033898305085,0.796610169491525,0.728813559322034,0.847457627118644,0.864406779661017,0.847457627118644,0.728813559322034,0.88135593220339,0.822033898305085,0.864406779661017,0.847457627118644,0.88135593220339,0.813559322033898,0.771186440677966,0.73728813559322,0.788135593220339,0,0.838983050847458,0.813559322033898,0.73728813559322,0.838983050847458,0.85593220338983,0.906779661016949,0.788135593220339,0.85593220338983,0.822033898305085,0.779661016949153,0.872881355932203,0.838983050847458,0.889830508474576,0,0.847457627118644,0.796610169491525,0.85593220338983,0.838983050847458,0.805084745762712,0.771186440677966,0.161016949152542,0.864406779661017,0.822033898305085,0.805084745762712,0.889830508474576,0.864406779661017,0.872881355932203,0.73728813559322,0.847457627118644,0.73728813559322,0.822033898305085,0.838983050847458,0.788135593220339,0.85593220338983,0.813559322033898,0.847457627118644,0.796610169491525,0.85593220338983,0.805084745762712,0.805084745762712,0.88135593220339,0.771186440677966,0.847457627118644,0.771186440677966,0.889830508474576,0.779661016949153,0.805084745762712,0.728813559322034,0.754237288135593,0.847457627118644,0.847457627118644,0.838983050847458,0.889830508474576,0.745762711864407,0.788135593220339,0.796610169491525,0.720338983050847,0.85593220338983,0.847457627118644,0.88135593220339,0.864406779661017,0.720338983050847,0.88135593220339,0.661016949152542,0.864406779661017,0,0.830508474576271,0.779661016949153,0.88135593220339,0.838983050847458,0.728813559322034,0.805084745762712,0.864406779661017,0.838983050847458,0.796610169491525,0.864406779661017,0.822033898305085,0.728813559322034,0.830508474576271,0.788135593220339,0.754237288135593,0.889830508474576
"dp_adapt_power14",0.694915254237288,0.830508474576271,0.796610169491525,0.728813559322034,0.847457627118644,0.872881355932203,0.85593220338983,0.728813559322034,0.889830508474576,0.822033898305085,0.872881355932203,0.847457627118644,0.889830508474576,0.813559322033898,0.779661016949153,0.73728813559322,0.788135593220339,0,0.838983050847458,0.822033898305085,0.76271186440678,0.838983050847458,0.85593220338983,0.906779661016949,0.796610169491525,0.85593220338983,0.822033898305085,0.788135593220339,0.898305084745763,0.847457627118644,0.889830508474576,0,0.85593220338983,0.796610169491525,0.85593220338983,0.847457627118644,0.805084745762712,0.779661016949153,0.161016949152542,0.872881355932203,0.838983050847458,0.805084745762712,0.889830508474576,0.864406779661017,0.906779661016949,0.73728813559322,0.847457627118644,0.73728813559322,0.830508474576271,0.838983050847458,0.805084745762712,0.85593220338983,0.813559322033898,0.85593220338983,0.822033898305085,0.85593220338983,0.805084745762712,0.805084745762712,0.889830508474576,0.779661016949153,0.889830508474576,0.771186440677966,0.889830508474576,0.779661016949153,0.813559322033898,0.73728813559322,0.754237288135593,0.847457627118644,0.847457627118644,0.838983050847458,0.889830508474576,0.745762711864407,0.788135593220339,0.85593220338983,0.720338983050847,0.85593220338983,0.847457627118644,0.88135593220339,0.864406779661017,0.720338983050847,0.88135593220339,0.745762711864407,0.864406779661017,0,0.830508474576271,0.813559322033898,0.889830508474576,0.838983050847458,0.745762711864407,0.805084745762712,0.864406779661017,0.838983050847458,0.805084745762712,0.872881355932203,0.830508474576271,0.805084745762712,0.830508474576271,0.788135593220339,0.754237288135593,0.889830508474576
"dp_adapt_power15",0.728813559322034,0.830508474576271,0.805084745762712,0.728813559322034,0.864406779661017,0.872881355932203,0.85593220338983,0.728813559322034,0.889830508474576,0.822033898305085,0.872881355932203,0.847457627118644,0.889830508474576,0.830508474576271,0.779661016949153,0.76271186440678,0.796610169491525,0,0.838983050847458,0.822033898305085,0.76271186440678,0.838983050847458,0.85593220338983,0.906779661016949,0.805084745762712,0.85593220338983,0.822033898305085,0.813559322033898,0.898305084745763,0.847457627118644,0.889830508474576,0,0.85593220338983,0.805084745762712,0.864406779661017,0.864406779661017,0.813559322033898,0.779661016949153,0.161016949152542,0.872881355932203,0.847457627118644,0.805084745762712,0.889830508474576,0.864406779661017,0.906779661016949,0.73728813559322,0.847457627118644,0.745762711864407,0.830508474576271,0.838983050847458,0.813559322033898,0.864406779661017,0.822033898305085,0.85593220338983,0.830508474576271,0.85593220338983,0.805084745762712,0.805084745762712,0.898305084745763,0.779661016949153,0.889830508474576,0.805084745762712,0.889830508474576,0.779661016949153,0.822033898305085,0.745762711864407,0.771186440677966,0.847457627118644,0.847457627118644,0.838983050847458,0.898305084745763,0.745762711864407,0.796610169491525,0.864406779661017,0.728813559322034,0.85593220338983,0.864406779661017,0.88135593220339,0.864406779661017,0.728813559322034,0.88135593220339,0.745762711864407,0.864406779661017,0,0.838983050847458,0.813559322033898,0.906779661016949,0.847457627118644,0.745762711864407,0.805084745762712,0.864406779661017,0.838983050847458,0.813559322033898,0.872881355932203,0.830508474576271,0.805084745762712,0.830508474576271,0.788135593220339,0.754237288135593,0.889830508474576
"dp_adapt_power16",0.754237288135593,0.830508474576271,0.805084745762712,0.728813559322034,0.872881355932203,0.872881355932203,0.864406779661017,0.73728813559322,0.889830508474576,0.830508474576271,0.88135593220339,0.847457627118644,0.889830508474576,0.838983050847458,0.779661016949153,0.76271186440678,0.805084745762712,0,0.864406779661017,0.822033898305085,0.76271186440678,0.838983050847458,0.864406779661017,0.906779661016949,0.805084745762712,0.85593220338983,0.822033898305085,0.822033898305085,0.906779661016949,0.847457627118644,0.889830508474576,0,0.85593220338983,0.813559322033898,0.864406779661017,0.88135593220339,0.813559322033898,0.779661016949153,0.161016949152542,0.872881355932203,0.847457627118644,0.805084745762712,0.889830508474576,0.864406779661017,0.906779661016949,0.73728813559322,0.847457627118644,0.745762711864407,0.830508474576271,0.838983050847458,0.813559322033898,0.864406779661017,0.822033898305085,0.85593220338983,0.847457627118644,0.85593220338983,0.805084745762712,0.822033898305085,0.898305084745763,0.779661016949153,0.898305084745763,0.805084745762712,0.889830508474576,0.779661016949153,0.830508474576271,0.788135593220339,0.771186440677966,0.85593220338983,0.847457627118644,0.838983050847458,0.898305084745763,0.754237288135593,0.796610169491525,0.864406779661017,0.728813559322034,0.85593220338983,0.864406779661017,0.88135593220339,0.864406779661017,0.728813559322034,0.88135593220339,0.771186440677966,0.864406779661017,0,0.838983050847458,0.813559322033898,0.923728813559322,0.872881355932203,0.754237288135593,0.813559322033898,0.872881355932203,0.872881355932203,0.813559322033898,0.872881355932203,0.838983050847458,0.822033898305085,0.838983050847458,0.788135593220339,0.76271186440678,0.889830508474576
"dp_adapt_power17",0.76271186440678,0.847457627118644,0.805084745762712,0.754237288135593,0.88135593220339,0.889830508474576,0.864406779661017,0.745762711864407,0.915254237288136,0.838983050847458,0.88135593220339,0.847457627118644,0.889830508474576,0.838983050847458,0.805084745762712,0.76271186440678,0.805084745762712,0,0.88135593220339,0.838983050847458,0.76271186440678,0.838983050847458,0.864406779661017,0.906779661016949,0.805084745762712,0.85593220338983,0.822033898305085,0.85593220338983,0.906779661016949,0.847457627118644,0.898305084745763,0,0.85593220338983,0.822033898305085,0.864406779661017,0.88135593220339,0.813559322033898,0.796610169491525,0.161016949152542,0.872881355932203,0.847457627118644,0.805084745762712,0.898305084745763,0.872881355932203,0.906779661016949,0.76271186440678,0.847457627118644,0.788135593220339,0.830508474576271,0.847457627118644,0.813559322033898,0.864406779661017,0.830508474576271,0.85593220338983,0.847457627118644,0.85593220338983,0.805084745762712,0.838983050847458,0.898305084745763,0.779661016949153,0.898305084745763,0.805084745762712,0.898305084745763,0.779661016949153,0.847457627118644,0.788135593220339,0.779661016949153,0.85593220338983,0.847457627118644,0.847457627118644,0.898305084745763,0.754237288135593,0.796610169491525,0.88135593220339,0.728813559322034,0.864406779661017,0.864406779661017,0.88135593220339,0.864406779661017,0.771186440677966,0.88135593220339,0.788135593220339,0.872881355932203,0,0.838983050847458,0.822033898305085,0.923728813559322,0.872881355932203,0.771186440677966,0.813559322033898,0.872881355932203,0.88135593220339,0.822033898305085,0.872881355932203,0.838983050847458,0.822033898305085,0.847457627118644,0.796610169491525,0.771186440677966,0.889830508474576
"dp_adapt_power18",0.788135593220339,0.847457627118644,0.822033898305085,0.754237288135593,0.88135593220339,0.889830508474576,0.872881355932203,0.745762711864407,0.915254237288136,0.847457627118644,0.88135593220339,0.847457627118644,0.889830508474576,0.847457627118644,0.805084745762712,0.76271186440678,0.805084745762712,0,0.88135593220339,0.838983050847458,0.76271186440678,0.838983050847458,0.872881355932203,0.906779661016949,0.805084745762712,0.864406779661017,0.830508474576271,0.85593220338983,0.906779661016949,0.847457627118644,0.906779661016949,0,0.85593220338983,0.838983050847458,0.872881355932203,0.898305084745763,0.813559322033898,0.830508474576271,0.161016949152542,0.872881355932203,0.864406779661017,0.805084745762712,0.898305084745763,0.872881355932203,0.906779661016949,0.76271186440678,0.847457627118644,0.788135593220339,0.830508474576271,0.85593220338983,0.830508474576271,0.864406779661017,0.847457627118644,0.88135593220339,0.847457627118644,0.85593220338983,0.805084745762712,0.838983050847458,0.898305084745763,0.779661016949153,0.898305084745763,0.805084745762712,0.898305084745763,0.779661016949153,0.847457627118644,0.788135593220339,0.788135593220339,0.85593220338983,0.847457627118644,0.88135593220339,0.906779661016949,0.754237288135593,0.830508474576271,0.88135593220339,0.728813559322034,0.898305084745763,0.889830508474576,0.88135593220339,0.864406779661017,0.788135593220339,0.88135593220339,0.805084745762712,0.898305084745763,0,0.847457627118644,0.85593220338983,0.923728813559322,0.872881355932203,0.771186440677966,0.813559322033898,0.872881355932203,0.898305084745763,0.830508474576271,0.872881355932203,0.838983050847458,0.822033898305085,0.85593220338983,0.796610169491525,0.779661016949153,0.898305084745763
"dp_adapt_power19",0.796610169491525,0.847457627118644,0.822033898305085,0.754237288135593,0.88135593220339,0.923728813559322,0.88135593220339,0.745762711864407,0.940677966101695,0.847457627118644,0.88135593220339,0.85593220338983,0.889830508474576,0.847457627118644,0.805084745762712,0.76271186440678,0.805084745762712,0,0.88135593220339,0.838983050847458,0.76271186440678,0.838983050847458,0.872881355932203,0.906779661016949,0.805084745762712,0.864406779661017,0.830508474576271,0.85593220338983,0.906779661016949,0.847457627118644,0.906779661016949,0,0.85593220338983,0.838983050847458,0.898305084745763,0.898305084745763,0.813559322033898,0.830508474576271,0.161016949152542,0.872881355932203,0.864406779661017,0.805084745762712,0.915254237288136,0.872881355932203,0.906779661016949,0.788135593220339,0.85593220338983,0.805084745762712,0.830508474576271,0.85593220338983,0.838983050847458,0.872881355932203,0.85593220338983,0.88135593220339,0.85593220338983,0.85593220338983,0.813559322033898,0.838983050847458,0.898305084745763,0.779661016949153,0.906779661016949,0.805084745762712,0.898305084745763,0.796610169491525,0.847457627118644,0.788135593220339,0.805084745762712,0.864406779661017,0.847457627118644,0.889830508474576,0.915254237288136,0.754237288135593,0.838983050847458,0.889830508474576,0.73728813559322,0.906779661016949,0.898305084745763,0.88135593220339,0.864406779661017,0.805084745762712,0.889830508474576,0.830508474576271,0.915254237288136,0,0.88135593220339,0.85593220338983,0.923728813559322,0.872881355932203,0.771186440677966,0.822033898305085,0.88135593220339,0.898305084745763,0.838983050847458,0.889830508474576,0.838983050847458,0.830508474576271,0.864406779661017,0.796610169491525,0.788135593220339,0.906779661016949
