"","result.1","result.2","result.3","result.4","result.5","result.6","result.7","result.8","result.9","result.10","result.11","result.12","result.13","result.14","result.15","result.16","result.17","result.18","result.19","result.20","result.21","result.22","result.23","result.24","result.25","result.26","result.27","result.28","result.29","result.30","result.31","result.32","result.33","result.34","result.35","result.36","result.37","result.38","result.39","result.40","result.41","result.42","result.43","result.44","result.45","result.46","result.47","result.48","result.49","result.50","result.51","result.52","result.53","result.54","result.55","result.56","result.57","result.58","result.59","result.60","result.61","result.62","result.63","result.64","result.65","result.66","result.67","result.68","result.69","result.70","result.71","result.72","result.73","result.74","result.75","result.76","result.77","result.78","result.79","result.80","result.81","result.82","result.83","result.84","result.85","result.86","result.87","result.88","result.89","result.90","result.91","result.92","result.93","result.94","result.95","result.96","result.97","result.98","result.99","result.100"
"dp_bh",c(0, 0.45),c(0.0277777777777778, 0.35),c(0.0285714285714286, 0.34),c(0, 0.45),c(0.0238095238095238, 0.41),c(0.113636363636364, 0.39),c(0.06, 0.47),c(0.025, 0.39),c(0, 0.38),c(0.0714285714285714, 0.52),c(0.0909090909090909, 0.5),c(0.0434782608695652, 0.44),c(0.0416666666666667, 0.46),c(0.0416666666666667, 0.46),c(0.109090909090909, 0.49),c(0.0857142857142857, 0.32),c(0.0697674418604651, 0.4),c(0, 0.38),c(0.104166666666667, 0.43),c(0.0540540540540541, 0.35),c(0.0465116279069767, 0.41),c(0.0256410256410256, 0.38),c(0, 0.4),c(0, 0.4),c(0.127272727272727, 0.48),c(0.0434782608695652, 0.44),c(0.0930232558139535, 0.39),c(0.0188679245283019, 0.52),c(0.027027027027027, 0.36),c(0.0983606557377049, 0.55),c(0.0909090909090909, 0.4),c(0.0232558139534884, 0.42),c(0.0204081632653061, 0.48),c(0.0217391304347826, 0.45),c(0.075, 0.37),c(0.0545454545454545, 0.52),c(0, 0.5),c(0, 0.41),c(0, 0.56),c(0.0256410256410256, 0.38),c(0.0769230769230769, 0.36),c(0.027027027027027, 0.36),c(0, 0.47),c(0.0714285714285714, 0.39),c(0, 0.35),c(0.037037037037037, 0.52),c(0.0566037735849057, 0.5),c(0.0851063829787234, 0.43),c(0.0925925925925926, 0.49),c(0.0740740740740741, 0.5),c(0.0526315789473684, 0.54),c(0.0208333333333333, 0.47),c(0.0204081632653061, 0.48),c(0.0612244897959184, 0.46),c(0.0652173913043478, 0.43),c(0.0425531914893617, 0.45),c(0.04, 0.48),c(0, 0.36),c(0.024390243902439, 0.4),c(0.0232558139534884, 0.42),c(0.0232558139534884, 0.42),c(0.027027027027027, 0.36),c(0.0655737704918033, 0.57),c(0.0212765957446809, 0.46),c(0.0731707317073171, 0.38),c(0.0980392156862745, 0.46),c(0, 0.48),c(0.0277777777777778, 0.35),c(0.0208333333333333, 0.47),c(0.0256410256410256, 0.38),c(0.0545454545454545, 0.52),c(0, 0.31),c(0.0612244897959184, 0.46),c(0.0444444444444444, 0.43),c(0, 0.35),c(0.0689655172413793, 0.54),c(0, 0.55),c(0.048780487804878, 0.39),c(0.0476190476190476, 0.4),c(0.0357142857142857, 0.54),c(0, 0.4),c(0.0363636363636364, 0.53),c(0, 0.37),c(0.0833333333333333, 0.44),c(0.0425531914893617, 0.45),c(0.0465116279069767, 0.41),c(0.04, 0.48),c(0.0961538461538462, 0.47),c(0.0238095238095238, 0.41),c(0, 0.48),c(0, 0.53),c(0.0363636363636364, 0.53),c(0.0192307692307692, 0.51),c(0, 0.33),c(0.0217391304347826, 0.45),c(0.0909090909090909, 0.5),c(0.0303030303030303, 0.32),c(0, 0.45),c(0.0727272727272727, 0.51),c(0.0188679245283019, 0.52)
"dp_bonf",c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0)
"adapt",c(0, 0.38),c(0.115384615384615, 0.46),c(0.0925925925925926, 0.49),c(0.166666666666667, 0.65),c(0.106060606060606, 0.59),c(0.113207547169811, 0.47),c(0.117647058823529, 0.6),c(0.12962962962963, 0.47),c(0.106060606060606, 0.59),c(0.0727272727272727, 0.51),c(0.135135135135135, 0.64),c(0.115942028985507, 0.61),c(0.0769230769230769, 0.48),c(0.0784313725490196, 0.47),c(0.183098591549296, 0.58),c(0.111111111111111, 0.56),c(0.109090909090909, 0.49),c(0.0615384615384615, 0.61),c(0.185185185185185, 0.66),c(0.183098591549296, 0.58),c(0.0847457627118644, 0.54),c(0.04, 0.48),c(0.04, 0.48),c(0.140845070422535, 0.61),c(0.146666666666667, 0.64),c(0.0746268656716418, 0.62),c(0.0952380952380952, 0.57),c(0.114285714285714, 0.62),c(0.163934426229508, 0.51),c(0.118421052631579, 0.67),c(0.112903225806452, 0.55),c(0.06, 0.47),c(0.0666666666666667, 0.56),c(0.16, 0.63),c(0.0980392156862745, 0.46),c(0.149253731343284, 0.57),c(0.0178571428571429, 0.55),c(0, 0.41),c(0.0810810810810811, 0.68),c(0.0727272727272727, 0.51),c(0.153846153846154, 0.44),c(0.05, 0.38),c(0.0857142857142857, 0.64),c(0.0540540540540541, 0.35),c(0.142857142857143, 0.54),c(0.0882352941176471, 0.62),c(0.0535714285714286, 0.53),c(0.129032258064516, 0.54),c(0.114285714285714, 0.62),c(0.09375, 0.58),c(0.0833333333333333, 0.66),c(0.0333333333333333, 0.58),c(0.0181818181818182, 0.54),c(0.06, 0.47),c(0.116666666666667, 0.53),c(0.149253731343284, 0.57),c(0.142857142857143, 0.54),c(0.06, 0.47),c(0.112903225806452, 0.55),c(0.116666666666667, 0.53),c(0.0967741935483871, 0.56),c(0.0576923076923077, 0.49),c(0.0606060606060606, 0.62),c(0.0566037735849057, 0.5),c(0.105263157894737, 0.51),c(0.157894736842105, 0.48),c(0.102941176470588, 0.61),c(0.0612244897959184, 0.46),c(0.210526315789474, 0.6),c(0.158730158730159, 0.53),c(0.0566037735849057, 0.5),c(0.113207547169811, 0.47),c(0.125, 0.56),c(0.151515151515152, 0.56),c(0.194029850746269, 0.54),c(0.0634920634920635, 0.59),c(0.0555555555555556, 0.68),c(0.113207547169811, 0.47),c(0.0465116279069767, 0.41),c(0.0615384615384615, 0.61),c(0, 0.4),c(0.0793650793650794, 0.58),c(0.15625, 0.54),c(0.2, 0.64),c(0.0416666666666667, 0.46),c(0.0983606557377049, 0.55),c(0.136986301369863, 0.63),c(0.1875, 0.65),c(0.0232558139534884, 0.42),c(0.0952380952380952, 0.57),c(0.0666666666666667, 0.56),c(0.197674418604651, 0.69),c(0.0793650793650794, 0.58),c(0, 0.3),c(0.0384615384615385, 0.5),c(0.154929577464789, 0.6),c(0.214285714285714, 0.55),c(0, 0.42),c(0.135135135135135, 0.64),c(0.111111111111111, 0.64)
"dp_adapt",c(0, 0.46),c(0.115384615384615, 0.46),c(0.0740740740740741, 0.5),c(0.175, 0.66),c(0.0952380952380952, 0.57),c(0.113207547169811, 0.47),c(0.140845070422535, 0.61),c(0.157894736842105, 0.48),c(0.0819672131147541, 0.56),c(0.0714285714285714, 0.52),c(0.135135135135135, 0.64),c(0.121212121212121, 0.58),c(0.0769230769230769, 0.48),c(0.114754098360656, 0.54),c(0.176470588235294, 0.56),c(0.153846153846154, 0.55),c(0.109090909090909, 0.49),c(0.0476190476190476, 0.6),c(0.182926829268293, 0.67),c(0.151515151515152, 0.56),c(0.133333333333333, 0.52),c(0.0833333333333333, 0.55),c(0.02, 0.49),c(0.173333333333333, 0.62),c(0.162162162162162, 0.62),c(0.0701754385964912, 0.53),c(0.108695652173913, 0.41),c(0.0645161290322581, 0.58),c(0.113207547169811, 0.47),c(0.133333333333333, 0.65),c(0.126984126984127, 0.55),c(0.0416666666666667, 0.46),c(0.0689655172413793, 0.54),c(0.164383561643836, 0.61),c(0.0961538461538462, 0.47),c(0.138461538461538, 0.56),c(0.0327868852459016, 0.59),c(0, 0.43),c(0.0833333333333333, 0.66),c(0.08, 0.46),c(0.127659574468085, 0.41),c(0.0980392156862745, 0.46),c(0.0857142857142857, 0.64),c(0.0731707317073171, 0.38),c(0.153846153846154, 0.55),c(0.05, 0.57),c(0.0666666666666667, 0.56),c(0.120689655172414, 0.51),c(0.136986301369863, 0.63),c(0.09375, 0.58),c(0.0958904109589041, 0.66),c(0.0333333333333333, 0.58),c(0.0185185185185185, 0.53),c(0.0612244897959184, 0.46),c(0.116666666666667, 0.53),c(0.0983606557377049, 0.55),c(0.116666666666667, 0.53),c(0, 0.44),c(0.111111111111111, 0.56),c(0.103448275862069, 0.52),c(0.0952380952380952, 0.57),c(0.0769230769230769, 0.48),c(0.0819672131147541, 0.56),c(0.0377358490566038, 0.51),c(0.129032258064516, 0.54),c(0.0612244897959184, 0.46),c(0.101449275362319, 0.62),c(0.06, 0.47),c(0.213333333333333, 0.59),c(0.166666666666667, 0.5),c(0.0384615384615385, 0.5),c(0.0925925925925926, 0.49),c(0.147058823529412, 0.58),c(0.151515151515152, 0.56),c(0.171875, 0.53),c(0.078125, 0.59),c(0.0666666666666667, 0.7),c(0.0980392156862745, 0.46),c(0.0465116279069767, 0.41),c(0.05, 0.57),c(0, 0.4),c(0.132352941176471, 0.59),c(0.15625, 0.54),c(0.209876543209877, 0.64),c(0.0377358490566038, 0.51),c(0.136363636363636, 0.57),c(0.152777777777778, 0.61),c(0.142857142857143, 0.6),c(0.0222222222222222, 0.44),c(0.175675675675676, 0.61),c(0.0806451612903226, 0.57),c(0.215909090909091, 0.69),c(0.09375, 0.58),c(0.0930232558139535, 0.39),c(0.0545454545454545, 0.52),c(0.142857142857143, 0.6),c(0.1875, 0.52),c(0.0217391304347826, 0.45),c(0.135135135135135, 0.64),c(0.1, 0.63)
