"","V1","V2","V3","V4"
"result.1",0.34,0,0.43,0.43
"result.2",0.51,0,0.64,0.66
"result.3",0.44,0,0.63,0.59
"result.4",0.45,0,0.52,0.54
"result.5",0.35,0,0.6,0.6
"result.6",0.39,0,0.5,0.5
"result.7",0.42,0,0.55,0.56
"result.8",0.39,0,0.51,0.52
"result.9",0.41,0,0.48,0.41
"result.10",0.49,0,0.59,0.57
"result.11",0.35,0,0.45,0.4
"result.12",0.43,0,0.43,0.41
"result.13",0.42,0,0.59,0.61
"result.14",0.45,0,0.44,0.46
"result.15",0.41,0,0.5,0.55
"result.16",0.5,0,0.53,0.54
"result.17",0.46,0,0.58,0.58
"result.18",0.47,0,0.63,0.51
"result.19",0.34,0,0.49,0.45
"result.20",0.52,0,0.67,0.66
"result.21",0.57,0,0.71,0.71
"result.22",0.44,0,0.63,0.62
"result.23",0.52,0,0.62,0.58
"result.24",0.47,0,0.58,0.57
"result.25",0.46,0,0.49,0.49
"result.26",0.44,0,0.58,0.6
"result.27",0.51,0,0.6,0.62
"result.28",0.55,0,0.59,0.51
"result.29",0.47,0,0.55,0.57
"result.30",0.43,0,0.58,0.5
"result.31",0.48,0,0.59,0.53
"result.32",0.43,0,0.56,0.48
"result.33",0.45,0,0.51,0.51
"result.34",0.53,0,0.53,0.55
"result.35",0.59,0,0.71,0.72
"result.36",0.51,0,0.66,0.67
"result.37",0.4,0,0.39,0.41
"result.38",0.42,0,0.55,0.56
"result.39",0.41,0,0.62,0.63
"result.40",0.31,0,0.44,0.46
"result.41",0.45,0,0.53,0.52
"result.42",0.41,0,0.56,0.53
"result.43",0.45,0,0.56,0.51
"result.44",0.45,0,0.44,0.41
"result.45",0.56,0,0.66,0.65
"result.46",0.54,0,0.62,0.59
"result.47",0.29,0,0.26,0.24
"result.48",0.51,0,0.6,0.61
"result.49",0.46,0,0.46,0.46
"result.50",0.41,0,0.52,0.47
"result.51",0.38,0,0.58,0.56
"result.52",0.47,0,0.59,0.53
"result.53",0.46,0,0.62,0.59
"result.54",0.54,0,0.65,0.6
"result.55",0.44,0,0.58,0.58
"result.56",0.44,0,0.61,0.58
"result.57",0.33,0,0.55,0.53
"result.58",0.55,0,0.62,0.62
"result.59",0.44,0,0.41,0.43
"result.60",0.45,0,0.45,0.45
"result.61",0.5,0,0.6,0.58
"result.62",0.37,0,0.54,0.55
"result.63",0.48,0,0.56,0.56
"result.64",0.47,0,0.54,0.55
"result.65",0.56,0,0.6,0.62
"result.66",0.47,0,0.55,0.54
"result.67",0.49,0,0.41,0.39
"result.68",0.4,0,0.35,0.35
"result.69",0.49,0,0.59,0.62
"result.70",0.41,0,0.49,0.5
"result.71",0.52,0,0.57,0.61
"result.72",0.5,0,0.64,0.64
"result.73",0.51,0,0.58,0.53
"result.74",0.38,0,0.62,0.55
"result.75",0.55,0,0.62,0.6
"result.76",0.43,0,0.44,0.44
"result.77",0.54,0,0.65,0.66
"result.78",0.38,0,0.5,0.53
"result.79",0.39,0,0.41,0.41
"result.80",0.51,0,0.61,0.61
"result.81",0.52,0,0.72,0.74
"result.82",0.38,0,0.67,0.66
"result.83",0.46,0,0.57,0.59
"result.84",0.45,0,0.61,0.61
"result.85",0.49,0,0.55,0.52
"result.86",0.47,0,0.65,0.67
"result.87",0.41,0,0.51,0.52
"result.88",0.44,0,0.67,0.69
"result.89",0.27,0,0.5,0.45
"result.90",0.55,0,0.68,0.63
"result.91",0.54,0,0.56,0.53
"result.92",0.44,0,0.57,0.57
"result.93",0.46,0,0.63,0.6
"result.94",0.41,0,0.53,0.53
"result.95",0.42,0,0.58,0.57
"result.96",0.42,0,0.48,0.47
"result.97",0.54,0,0.56,0.61
"result.98",0.52,0,0.6,0.61
"result.99",0.37,0,0.48,0.47
"result.100",0.46,0,0.52,0.58
