"","result.1","result.2","result.3","result.4","result.5","result.6","result.7","result.8","result.9","result.10","result.11","result.12","result.13","result.14","result.15","result.16","result.17","result.18","result.19","result.20","result.21","result.22","result.23","result.24","result.25","result.26","result.27","result.28","result.29","result.30","result.31","result.32","result.33","result.34","result.35","result.36","result.37","result.38","result.39","result.40","result.41","result.42","result.43","result.44","result.45","result.46","result.47","result.48","result.49","result.50","result.51","result.52","result.53","result.54","result.55","result.56","result.57","result.58","result.59","result.60","result.61","result.62","result.63","result.64","result.65","result.66","result.67","result.68","result.69","result.70","result.71","result.72","result.73","result.74","result.75","result.76","result.77","result.78","result.79","result.80","result.81","result.82","result.83","result.84","result.85","result.86","result.87","result.88","result.89","result.90","result.91","result.92","result.93","result.94","result.95","result.96","result.97","result.98","result.99","result.100"
"dp_bh",c(0.0714285714285714, 0.52),c(0.0612244897959184, 0.46),c(0.114754098360656, 0.54),c(0.0517241379310345, 0.55),c(0.0172413793103448, 0.57),c(0.119402985074627, 0.59),c(0.0192307692307692, 0.51),c(0.0208333333333333, 0.47),c(0, 0.49),c(0.0714285714285714, 0.65),c(0.0344827586206897, 0.56),c(0.0634920634920635, 0.59),c(0.0862068965517241, 0.53),c(0.0377358490566038, 0.51),c(0.0816326530612245, 0.45),c(0.0784313725490196, 0.47),c(0.0597014925373134, 0.63),c(0.0634920634920635, 0.59),c(0, 0.51),c(0.0545454545454545, 0.52),c(0.0491803278688525, 0.58),c(0.0677966101694915, 0.55),c(0.0701754385964912, 0.53),c(0.0363636363636364, 0.53),c(0.0425531914893617, 0.45),c(0.0634920634920635, 0.59),c(0.0983606557377049, 0.55),c(0.0714285714285714, 0.52),c(0.0740740740740741, 0.5),c(0.0882352941176471, 0.62),c(0.0535714285714286, 0.53),c(0.0697674418604651, 0.4),c(0.116666666666667, 0.53),c(0.0392156862745098, 0.49),c(0.120689655172414, 0.51),c(0.0204081632653061, 0.48),c(0.0967741935483871, 0.56),c(0.0535714285714286, 0.53),c(0.0172413793103448, 0.57),c(0.103448275862069, 0.52),c(0.101694915254237, 0.53),c(0.0597014925373134, 0.63),c(0.125, 0.56),c(0.0363636363636364, 0.53),c(0, 0.51),c(0.0566037735849057, 0.5),c(0.0784313725490196, 0.47),c(0.114754098360656, 0.54),c(0.0307692307692308, 0.63),c(0.131147540983607, 0.53),c(0.046875, 0.61),c(0.115384615384615, 0.46),c(0.0217391304347826, 0.45),c(0.0943396226415094, 0.48),c(0.0434782608695652, 0.44),c(0.111111111111111, 0.56),c(0.122448979591837, 0.43),c(0.0204081632653061, 0.48),c(0.0392156862745098, 0.49),c(0.0833333333333333, 0.44),c(0.134328358208955, 0.58),c(0.0701754385964912, 0.53),c(0.1, 0.45),c(0.0517241379310345, 0.55),c(0.0517241379310345, 0.55),c(0.0545454545454545, 0.52),c(0.132075471698113, 0.46),c(0.120689655172414, 0.51),c(0.114754098360656, 0.54),c(0.126984126984127, 0.55),c(0.0188679245283019, 0.52),c(0.037037037037037, 0.52),c(0.0232558139534884, 0.42),c(0.0377358490566038, 0.51),c(0.087719298245614, 0.52),c(0.078125, 0.59),c(0.111111111111111, 0.48),c(0.09375, 0.58),c(0.0909090909090909, 0.5),c(0.0689655172413793, 0.54),c(0.0232558139534884, 0.42),c(0.0727272727272727, 0.51),c(0.0645161290322581, 0.58),c(0.101449275362319, 0.62),c(0.0655737704918033, 0.57),c(0.0945945945945946, 0.67),c(0.0232558139534884, 0.42),c(0.0212765957446809, 0.46),c(0.037037037037037, 0.52),c(0.0350877192982456, 0.55),c(0.125, 0.56),c(0.0961538461538462, 0.47),c(0.0967741935483871, 0.56),c(0.1, 0.54),c(0.0806451612903226, 0.57),c(0.0576923076923077, 0.49),c(0.0757575757575758, 0.61),c(0.0204081632653061, 0.48),c(0.0454545454545455, 0.63),c(0, 0.47)
"dp_bonf",c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0),c(0, 0)
"adapt",c(0.0454545454545455, 0.42),c(0.0222222222222222, 0.44),c(0.0681818181818182, 0.41),c(0.107692307692308, 0.58),c(0.0461538461538462, 0.62),c(0.130434782608696, 0.6),c(0.0967741935483871, 0.56),c(0.0217391304347826, 0.45),c(0.0192307692307692, 0.51),c(0.108433734939759, 0.74),c(0.0958904109589041, 0.66),c(0.0655737704918033, 0.57),c(0.117647058823529, 0.6),c(0.04, 0.48),c(0.140845070422535, 0.61),c(0.128571428571429, 0.61),c(0.0172413793103448, 0.57),c(0.0958904109589041, 0.66),c(0, 0.5),c(0.164179104477612, 0.56),c(0.112676056338028, 0.63),c(0.186046511627907, 0.7),c(0.0588235294117647, 0.48),c(0.02, 0.49),c(0.0588235294117647, 0.48),c(0.144578313253012, 0.71),c(0.114285714285714, 0.62),c(0.0384615384615385, 0.5),c(0.22972972972973, 0.57),c(0.229885057471264, 0.67),c(0.0196078431372549, 0.5),c(0.032258064516129, 0.3),c(0.164383561643836, 0.61),c(0.107142857142857, 0.5),c(0.125, 0.7),c(0, 0.48),c(0.0196078431372549, 0.5),c(0.0483870967741935, 0.59),c(0.0172413793103448, 0.57),c(0.114754098360656, 0.54),c(0.087719298245614, 0.52),c(0.0735294117647059, 0.63),c(0.178082191780822, 0.6),c(0, 0.46),c(0.0185185185185185, 0.53),c(0.0983606557377049, 0.55),c(0.188405797101449, 0.56),c(0.106060606060606, 0.59),c(0.0422535211267606, 0.68),c(0.131147540983607, 0.53),c(0.0704225352112676, 0.66),c(0.178571428571429, 0.46),c(0.169014084507042, 0.59),c(0.0666666666666667, 0.42),c(0.0434782608695652, 0.44),c(0.112903225806452, 0.55),c(0.140350877192982, 0.49),c(0.1, 0.54),c(0.0833333333333333, 0.55),c(0.205882352941176, 0.54),c(0.177215189873418, 0.65),c(0.136363636363636, 0.57),c(0.102040816326531, 0.44),c(0.0517241379310345, 0.55),c(0.0188679245283019, 0.52),c(0.228915662650602, 0.64),c(0.161290322580645, 0.52),c(0.140625, 0.55),c(0.123076923076923, 0.57),c(0.126984126984127, 0.55),c(0.0188679245283019, 0.52),c(0.037037037037037, 0.52),c(0.0851063829787234, 0.43),c(0, 0.43),c(0.087719298245614, 0.52),c(0.197530864197531, 0.65),c(0.101694915254237, 0.53),c(0.111111111111111, 0.64),c(0.0892857142857143, 0.51),c(0.0526315789473684, 0.54),c(0, 0.33),c(0.123076923076923, 0.57),c(0.0655737704918033, 0.57),c(0.191489361702128, 0.76),c(0.0735294117647059, 0.63),c(0.191489361702128, 0.76),c(0.025, 0.39),c(0.0232558139534884, 0.42),c(0.119402985074627, 0.59),c(0.0350877192982456, 0.55),c(0.132352941176471, 0.59),c(0.15, 0.68),c(0.0895522388059701, 0.61),c(0.142857142857143, 0.6),c(0.112676056338028, 0.63),c(0.0727272727272727, 0.51),c(0.158536585365854, 0.69),c(0.0819672131147541, 0.56),c(0.0428571428571429, 0.67),c(0.0952380952380952, 0.57)
"dp_adapt",c(0.0454545454545455, 0.42),c(0.06, 0.47),c(0.0666666666666667, 0.42),c(0.107692307692308, 0.58),c(0.046875, 0.61),c(0.126760563380282, 0.62),c(0.111111111111111, 0.56),c(0.0208333333333333, 0.47),c(0, 0.51),c(0.109756097560976, 0.73),c(0.0833333333333333, 0.66),c(0.0666666666666667, 0.56),c(0.09375, 0.58),c(0.0392156862745098, 0.49),c(0.142857142857143, 0.6),c(0.140845070422535, 0.61),c(0.0597014925373134, 0.63),c(0.106666666666667, 0.67),c(0, 0.5),c(0.161764705882353, 0.57),c(0.112676056338028, 0.63),c(0.170731707317073, 0.68),c(0.0769230769230769, 0.48),c(0.0196078431372549, 0.5),c(0.0576923076923077, 0.49),c(0.144578313253012, 0.71),c(0.126760563380282, 0.62),c(0.0566037735849057, 0.5),c(0.171428571428571, 0.58),c(0.22093023255814, 0.67),c(0.02, 0.49),c(0.032258064516129, 0.3),c(0.173333333333333, 0.62),c(0.0909090909090909, 0.5),c(0.128205128205128, 0.68),c(0.05, 0.57),c(0.0192307692307692, 0.51),c(0.0483870967741935, 0.59),c(0.0172413793103448, 0.57),c(0.129032258064516, 0.54),c(0.0714285714285714, 0.52),c(0.0857142857142857, 0.64),c(0.202702702702703, 0.59),c(0, 0.46),c(0, 0.53),c(0.0576923076923077, 0.49),c(0.176470588235294, 0.56),c(0.109375, 0.57),c(0.0428571428571429, 0.67),c(0.129032258064516, 0.54),c(0.0714285714285714, 0.65),c(0.142857142857143, 0.48),c(0.138461538461538, 0.56),c(0.0666666666666667, 0.42),c(0.04, 0.48),c(0.114754098360656, 0.54),c(0.166666666666667, 0.5),c(0.0701754385964912, 0.53),c(0.0819672131147541, 0.56),c(0.214285714285714, 0.55),c(0.175, 0.66),c(0.136363636363636, 0.57),c(0.1, 0.45),c(0.05, 0.57),c(0.0185185185185185, 0.53),c(0.194805194805195, 0.62),c(0.158730158730159, 0.53),c(0.129032258064516, 0.54),c(0.123076923076923, 0.57),c(0.140625, 0.55),c(0, 0.52),c(0.037037037037037, 0.52),c(0.0833333333333333, 0.44),c(0, 0.42),c(0.103448275862069, 0.52),c(0.1875, 0.65),c(0.1, 0.54),c(0.0985915492957746, 0.64),c(0.0806451612903226, 0.57),c(0.0689655172413793, 0.54),c(0, 0.33),c(0.134328358208955, 0.58),c(0.0666666666666667, 0.56),c(0.177777777777778, 0.74),c(0.0746268656716418, 0.62),c(0.191489361702128, 0.76),c(0, 0.33),c(0.0232558139534884, 0.42),c(0.109375, 0.57),c(0.0491803278688525, 0.58),c(0.132352941176471, 0.59),c(0.128571428571429, 0.61),c(0.0895522388059701, 0.61),c(0.132352941176471, 0.59),c(0.111111111111111, 0.64),c(0.087719298245614, 0.52),c(0.158536585365854, 0.69),c(0.0666666666666667, 0.56),c(0.0441176470588235, 0.65),c(0.09375, 0.58)
