"","V1","V2","V3","V4"
"result.1",0.42,0,0.92,0.92
"result.2",0.46,0,0.92,0.92
"result.3",0.36,0,0.86,0.86
"result.4",0.38,0,0.84,0.82
"result.5",0.6,0,0.96,0.96
"result.6",0.4,0,0.92,0.92
"result.7",0.54,0,0.94,0.94
"result.8",0.5,0,0.94,0.94
"result.9",0.58,0,0.96,0.96
"result.10",0.64,0,0.9,0.9
"result.11",0.42,0,0.94,0.94
"result.12",0.34,0,0.9,0.9
"result.13",0.46,0,0.96,0.96
"result.14",0.48,0,0.94,0.94
"result.15",0.28,0,0.9,0.9
"result.16",0.48,0,0.86,0.86
"result.17",0.42,0,0.9,0.9
"result.18",0.48,0,0.86,0.86
"result.19",0.36,0,0.88,0.88
"result.20",0.42,0,0.86,0.86
"result.21",0.54,0,0.92,0.92
"result.22",0.6,0,0.94,0.94
"result.23",0.52,0,0.98,0.98
"result.24",0.48,0,0.94,0.94
"result.25",0.4,0,0.82,0.82
"result.26",0.5,0,0.92,0.92
"result.27",0.36,0,0.8,0.78
"result.28",0.5,0,0.98,0.98
"result.29",0.54,0,0.94,0.96
"result.30",0.44,0,0.9,0.9
"result.31",0.56,0,0.8,0.82
"result.32",0.38,0,0.94,0.94
"result.33",0.44,0,0.88,0.88
"result.34",0.34,0,0.86,0.84
"result.35",0.38,0,0.88,0.88
"result.36",0.4,0,0.94,0.94
"result.37",0.42,0,0.96,0.96
"result.38",0.5,0,0.92,0.92
"result.39",0.44,0,0.92,0.92
"result.40",0.28,0,0.86,0.86
"result.41",0.44,0,0.9,0.9
"result.42",0.52,0,0.88,0.88
"result.43",0.36,0,0.84,0.84
"result.44",0.52,0,0.82,0.82
"result.45",0.48,0,0.86,0.86
"result.46",0.34,0,0.9,0.92
"result.47",0.46,0,0.86,0.86
"result.48",0.4,0,0.84,0.82
"result.49",0.48,0,0.88,0.86
"result.50",0.42,0,0.92,0.92
"result.51",0.52,0,0.96,0.96
"result.52",0.44,0,0.9,0.9
"result.53",0.48,0,0.88,0.88
"result.54",0.32,0,0.9,0.9
"result.55",0.38,0,0.84,0.82
"result.56",0.4,0,0.98,0.98
"result.57",0.52,0,0.86,0.88
"result.58",0.46,0,0.82,0.82
"result.59",0.42,0,0.86,0.86
"result.60",0.42,0,0.84,0.84
"result.61",0.4,0,0.9,0.9
"result.62",0.36,0,0.84,0.84
"result.63",0.36,0,0.92,0.92
"result.64",0.44,0,0.94,0.94
"result.65",0.28,0,0.92,0.92
"result.66",0.48,0,0.96,0.96
"result.67",0.32,0,0.86,0.86
"result.68",0.54,0,0.9,0.9
"result.69",0.48,0,0.86,0.86
"result.70",0.5,0,0.96,0.96
"result.71",0.52,0,0.9,0.9
"result.72",0.46,0,0.92,0.92
"result.73",0.4,0,0.96,0.96
"result.74",0.58,0,0.98,0.98
"result.75",0.52,0,0.92,0.92
"result.76",0.52,0,0.96,0.96
"result.77",0.44,0,0.92,0.92
"result.78",0.24,0,0.92,0.92
"result.79",0.54,0,0.84,0.82
"result.80",0.34,0,0.88,0.88
"result.81",0.26,0,0.8,0.82
"result.82",0.62,0,0.98,0.98
"result.83",0.4,0,0.82,0.8
"result.84",0.34,0,0.88,0.88
"result.85",0.38,0,0.86,0.86
"result.86",0.32,0,0.88,0.88
"result.87",0.52,0,0.94,0.94
"result.88",0.46,0,0.92,0.9
"result.89",0.24,0,0.7,0.68
"result.90",0.46,0,0.92,0.92
"result.91",0.52,0,0.86,0.86
"result.92",0.52,0,0.94,0.94
"result.93",0.4,0,0.9,0.9
"result.94",0.24,0,0.9,0.9
"result.95",0.32,0,0.98,0.98
"result.96",0.36,0,1,1
"result.97",0.46,0,0.92,0.92
"result.98",0.52,0,0.92,0.92
"result.99",0.44,0,0.84,0.84
"result.100",0.5,0,0.9,0.9
