"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"dp_bh_power12",0.913793103448276,0.939655172413793,0.922413793103448,0.922413793103448,0.922413793103448,0.913793103448276,0.905172413793103,0.905172413793103,0.905172413793103,0.887931034482759,0.956896551724138,0.922413793103448,0.827586206896552,0.913793103448276,0.887931034482759,0.913793103448276,0.870689655172414,0.948275862068966,0.913793103448276,0.905172413793103,0.896551724137931,0.931034482758621,0.939655172413793,0.896551724137931,0.922413793103448,0.982758620689655,0.913793103448276,0.896551724137931,0.913793103448276,0.922413793103448,0.931034482758621,0.913793103448276,0.896551724137931,0.905172413793103,0.931034482758621,0.939655172413793,0.887931034482759,0.948275862068966,0.931034482758621,0.96551724137931,0.896551724137931,0.956896551724138,0.931034482758621,0.905172413793103,0.905172413793103,0.896551724137931,0.913793103448276,0.887931034482759,0.922413793103448,0.896551724137931,0.956896551724138,0.96551724137931,0.939655172413793,0.870689655172414,0.887931034482759,0.939655172413793,0.862068965517241,0.913793103448276,0.948275862068966,0.887931034482759,0.939655172413793,0.879310344827586,0.939655172413793,0.887931034482759,0.905172413793103,0.931034482758621,0.948275862068966,0.922413793103448,0.905172413793103,0.922413793103448,0.862068965517241,0.922413793103448,0.956896551724138,0.96551724137931,0.948275862068966,0.905172413793103,0.939655172413793,0.96551724137931,0.956896551724138,0.879310344827586,0.879310344827586,0.931034482758621,0.905172413793103,0.905172413793103,0.931034482758621,0.836206896551724,0.887931034482759,0.913793103448276,0.853448275862069,0.956896551724138,0.922413793103448,0.931034482758621,0.905172413793103,0.905172413793103,0.844827586206897,0.913793103448276,0.939655172413793,0.905172413793103,0.939655172413793,0.862068965517241
"dp_bh_power13",0.922413793103448,0.948275862068966,0.922413793103448,0.922413793103448,0.922413793103448,0.913793103448276,0.905172413793103,0.913793103448276,0.905172413793103,0.887931034482759,0.956896551724138,0.922413793103448,0.827586206896552,0.922413793103448,0.896551724137931,0.913793103448276,0.879310344827586,0.948275862068966,0.913793103448276,0.905172413793103,0.896551724137931,0.931034482758621,0.939655172413793,0.896551724137931,0.922413793103448,0.982758620689655,0.913793103448276,0.905172413793103,0.922413793103448,0.931034482758621,0.931034482758621,0.913793103448276,0.896551724137931,0.913793103448276,0.931034482758621,0.939655172413793,0.887931034482759,0.948275862068966,0.931034482758621,0.96551724137931,0.896551724137931,0.956896551724138,0.931034482758621,0.905172413793103,0.905172413793103,0.896551724137931,0.913793103448276,0.913793103448276,0.922413793103448,0.896551724137931,0.96551724137931,0.96551724137931,0.939655172413793,0.879310344827586,0.887931034482759,0.948275862068966,0.862068965517241,0.913793103448276,0.948275862068966,0.887931034482759,0.939655172413793,0.879310344827586,0.948275862068966,0.887931034482759,0.905172413793103,0.931034482758621,0.948275862068966,0.931034482758621,0.913793103448276,0.931034482758621,0.870689655172414,0.922413793103448,0.96551724137931,0.96551724137931,0.948275862068966,0.905172413793103,0.939655172413793,0.96551724137931,0.956896551724138,0.879310344827586,0.887931034482759,0.931034482758621,0.905172413793103,0.905172413793103,0.939655172413793,0.836206896551724,0.905172413793103,0.931034482758621,0.862068965517241,0.96551724137931,0.922413793103448,0.948275862068966,0.905172413793103,0.913793103448276,0.870689655172414,0.922413793103448,0.939655172413793,0.913793103448276,0.939655172413793,0.862068965517241
"dp_bh_power14",0.922413793103448,0.948275862068966,0.939655172413793,0.922413793103448,0.922413793103448,0.913793103448276,0.905172413793103,0.913793103448276,0.905172413793103,0.905172413793103,0.956896551724138,0.931034482758621,0.827586206896552,0.922413793103448,0.896551724137931,0.913793103448276,0.879310344827586,0.956896551724138,0.913793103448276,0.913793103448276,0.896551724137931,0.939655172413793,0.956896551724138,0.913793103448276,0.931034482758621,0.982758620689655,0.922413793103448,0.905172413793103,0.922413793103448,0.931034482758621,0.931034482758621,0.913793103448276,0.896551724137931,0.913793103448276,0.931034482758621,0.948275862068966,0.887931034482759,0.948275862068966,0.931034482758621,0.974137931034483,0.896551724137931,0.96551724137931,0.939655172413793,0.913793103448276,0.905172413793103,0.896551724137931,0.913793103448276,0.922413793103448,0.931034482758621,0.896551724137931,0.96551724137931,0.974137931034483,0.948275862068966,0.879310344827586,0.887931034482759,0.956896551724138,0.862068965517241,0.922413793103448,0.948275862068966,0.896551724137931,0.939655172413793,0.879310344827586,0.948275862068966,0.887931034482759,0.913793103448276,0.939655172413793,0.948275862068966,0.948275862068966,0.913793103448276,0.931034482758621,0.879310344827586,0.939655172413793,0.96551724137931,0.96551724137931,0.948275862068966,0.905172413793103,0.939655172413793,0.96551724137931,0.956896551724138,0.879310344827586,0.887931034482759,0.931034482758621,0.913793103448276,0.905172413793103,0.956896551724138,0.853448275862069,0.905172413793103,0.931034482758621,0.870689655172414,0.96551724137931,0.922413793103448,0.956896551724138,0.913793103448276,0.922413793103448,0.870689655172414,0.922413793103448,0.939655172413793,0.931034482758621,0.939655172413793,0.870689655172414
"dp_bh_power15",0.931034482758621,0.948275862068966,0.939655172413793,0.939655172413793,0.922413793103448,0.913793103448276,0.913793103448276,0.922413793103448,0.913793103448276,0.913793103448276,0.956896551724138,0.931034482758621,0.827586206896552,0.931034482758621,0.896551724137931,0.913793103448276,0.879310344827586,0.956896551724138,0.913793103448276,0.913793103448276,0.896551724137931,0.956896551724138,0.956896551724138,0.913793103448276,0.931034482758621,0.982758620689655,0.922413793103448,0.939655172413793,0.922413793103448,0.931034482758621,0.931034482758621,0.913793103448276,0.896551724137931,0.913793103448276,0.931034482758621,0.948275862068966,0.887931034482759,0.956896551724138,0.931034482758621,0.974137931034483,0.896551724137931,0.974137931034483,0.939655172413793,0.913793103448276,0.905172413793103,0.905172413793103,0.939655172413793,0.922413793103448,0.931034482758621,0.896551724137931,0.96551724137931,0.982758620689655,0.948275862068966,0.879310344827586,0.896551724137931,0.956896551724138,0.879310344827586,0.931034482758621,0.948275862068966,0.905172413793103,0.948275862068966,0.879310344827586,0.948275862068966,0.887931034482759,0.913793103448276,0.939655172413793,0.948275862068966,0.948275862068966,0.913793103448276,0.939655172413793,0.879310344827586,0.939655172413793,0.96551724137931,0.96551724137931,0.956896551724138,0.905172413793103,0.948275862068966,0.96551724137931,0.956896551724138,0.905172413793103,0.887931034482759,0.931034482758621,0.913793103448276,0.913793103448276,0.956896551724138,0.853448275862069,0.913793103448276,0.939655172413793,0.870689655172414,0.96551724137931,0.931034482758621,0.956896551724138,0.913793103448276,0.922413793103448,0.879310344827586,0.931034482758621,0.939655172413793,0.931034482758621,0.96551724137931,0.879310344827586
"dp_bh_power16",0.931034482758621,0.948275862068966,0.939655172413793,0.939655172413793,0.922413793103448,0.913793103448276,0.913793103448276,0.922413793103448,0.922413793103448,0.913793103448276,0.956896551724138,0.931034482758621,0.844827586206897,0.939655172413793,0.905172413793103,0.913793103448276,0.879310344827586,0.956896551724138,0.913793103448276,0.913793103448276,0.896551724137931,0.956896551724138,0.956896551724138,0.922413793103448,0.931034482758621,0.982758620689655,0.931034482758621,0.948275862068966,0.939655172413793,0.931034482758621,0.931034482758621,0.913793103448276,0.896551724137931,0.913793103448276,0.931034482758621,0.96551724137931,0.896551724137931,0.956896551724138,0.931034482758621,0.974137931034483,0.913793103448276,0.974137931034483,0.939655172413793,0.922413793103448,0.905172413793103,0.905172413793103,0.939655172413793,0.922413793103448,0.939655172413793,0.913793103448276,0.96551724137931,0.982758620689655,0.948275862068966,0.879310344827586,0.905172413793103,0.974137931034483,0.879310344827586,0.931034482758621,0.948275862068966,0.905172413793103,0.948275862068966,0.887931034482759,0.948275862068966,0.887931034482759,0.913793103448276,0.939655172413793,0.956896551724138,0.948275862068966,0.913793103448276,0.939655172413793,0.879310344827586,0.939655172413793,0.96551724137931,0.96551724137931,0.956896551724138,0.922413793103448,0.948275862068966,0.96551724137931,0.956896551724138,0.913793103448276,0.887931034482759,0.931034482758621,0.913793103448276,0.913793103448276,0.956896551724138,0.870689655172414,0.913793103448276,0.948275862068966,0.879310344827586,0.974137931034483,0.931034482758621,0.956896551724138,0.913793103448276,0.922413793103448,0.879310344827586,0.931034482758621,0.939655172413793,0.948275862068966,0.96551724137931,0.887931034482759
"dp_bh_power17",0.931034482758621,0.948275862068966,0.948275862068966,0.939655172413793,0.922413793103448,0.913793103448276,0.913793103448276,0.922413793103448,0.922413793103448,0.922413793103448,0.956896551724138,0.931034482758621,0.844827586206897,0.948275862068966,0.913793103448276,0.913793103448276,0.879310344827586,0.956896551724138,0.913793103448276,0.922413793103448,0.896551724137931,0.956896551724138,0.956896551724138,0.922413793103448,0.948275862068966,0.991379310344828,0.931034482758621,0.96551724137931,0.939655172413793,0.931034482758621,0.939655172413793,0.922413793103448,0.896551724137931,0.913793103448276,0.939655172413793,0.96551724137931,0.905172413793103,0.956896551724138,0.931034482758621,0.974137931034483,0.913793103448276,0.982758620689655,0.939655172413793,0.922413793103448,0.905172413793103,0.905172413793103,0.939655172413793,0.922413793103448,0.956896551724138,0.922413793103448,0.96551724137931,0.982758620689655,0.948275862068966,0.887931034482759,0.905172413793103,0.974137931034483,0.887931034482759,0.931034482758621,0.948275862068966,0.913793103448276,0.948275862068966,0.896551724137931,0.948275862068966,0.896551724137931,0.913793103448276,0.939655172413793,0.956896551724138,0.948275862068966,0.922413793103448,0.939655172413793,0.879310344827586,0.939655172413793,0.96551724137931,0.96551724137931,0.96551724137931,0.922413793103448,0.948275862068966,0.96551724137931,0.96551724137931,0.922413793103448,0.887931034482759,0.939655172413793,0.913793103448276,0.913793103448276,0.956896551724138,0.870689655172414,0.922413793103448,0.948275862068966,0.887931034482759,0.974137931034483,0.931034482758621,0.956896551724138,0.913793103448276,0.931034482758621,0.879310344827586,0.931034482758621,0.939655172413793,0.948275862068966,0.96551724137931,0.896551724137931
"dp_bh_power18",0.931034482758621,0.956896551724138,0.948275862068966,0.948275862068966,0.922413793103448,0.913793103448276,0.922413793103448,0.922413793103448,0.922413793103448,0.931034482758621,0.974137931034483,0.931034482758621,0.853448275862069,0.948275862068966,0.913793103448276,0.913793103448276,0.879310344827586,0.956896551724138,0.922413793103448,0.922413793103448,0.896551724137931,0.956896551724138,0.956896551724138,0.931034482758621,0.948275862068966,0.991379310344828,0.931034482758621,0.96551724137931,0.939655172413793,0.931034482758621,0.939655172413793,0.931034482758621,0.905172413793103,0.913793103448276,0.939655172413793,0.96551724137931,0.905172413793103,0.956896551724138,0.931034482758621,0.974137931034483,0.931034482758621,0.982758620689655,0.939655172413793,0.931034482758621,0.905172413793103,0.913793103448276,0.939655172413793,0.922413793103448,0.956896551724138,0.922413793103448,0.96551724137931,0.982758620689655,0.948275862068966,0.887931034482759,0.905172413793103,0.974137931034483,0.905172413793103,0.931034482758621,0.948275862068966,0.913793103448276,0.948275862068966,0.913793103448276,0.948275862068966,0.896551724137931,0.913793103448276,0.939655172413793,0.956896551724138,0.948275862068966,0.922413793103448,0.948275862068966,0.879310344827586,0.939655172413793,0.96551724137931,0.96551724137931,0.96551724137931,0.922413793103448,0.948275862068966,0.96551724137931,0.96551724137931,0.922413793103448,0.887931034482759,0.939655172413793,0.913793103448276,0.931034482758621,0.956896551724138,0.870689655172414,0.922413793103448,0.948275862068966,0.905172413793103,0.974137931034483,0.931034482758621,0.956896551724138,0.913793103448276,0.939655172413793,0.879310344827586,0.931034482758621,0.939655172413793,0.956896551724138,0.96551724137931,0.896551724137931
"dp_bh_power19",0.931034482758621,0.956896551724138,0.948275862068966,0.948275862068966,0.922413793103448,0.922413793103448,0.931034482758621,0.931034482758621,0.931034482758621,0.931034482758621,0.974137931034483,0.931034482758621,0.853448275862069,0.948275862068966,0.913793103448276,0.913793103448276,0.879310344827586,0.956896551724138,0.922413793103448,0.922413793103448,0.913793103448276,0.956896551724138,0.956896551724138,0.931034482758621,0.948275862068966,0.991379310344828,0.931034482758621,0.96551724137931,0.939655172413793,0.931034482758621,0.948275862068966,0.931034482758621,0.913793103448276,0.913793103448276,0.939655172413793,0.96551724137931,0.905172413793103,0.956896551724138,0.931034482758621,0.974137931034483,0.939655172413793,0.982758620689655,0.939655172413793,0.939655172413793,0.905172413793103,0.913793103448276,0.948275862068966,0.922413793103448,0.956896551724138,0.922413793103448,0.96551724137931,0.982758620689655,0.948275862068966,0.896551724137931,0.913793103448276,0.974137931034483,0.922413793103448,0.931034482758621,0.948275862068966,0.913793103448276,0.948275862068966,0.922413793103448,0.948275862068966,0.896551724137931,0.913793103448276,0.939655172413793,0.956896551724138,0.948275862068966,0.922413793103448,0.948275862068966,0.879310344827586,0.939655172413793,0.974137931034483,0.96551724137931,0.96551724137931,0.922413793103448,0.948275862068966,0.96551724137931,0.96551724137931,0.922413793103448,0.887931034482759,0.939655172413793,0.913793103448276,0.931034482758621,0.956896551724138,0.879310344827586,0.922413793103448,0.948275862068966,0.922413793103448,0.974137931034483,0.931034482758621,0.956896551724138,0.913793103448276,0.948275862068966,0.887931034482759,0.939655172413793,0.939655172413793,0.956896551724138,0.96551724137931,0.896551724137931
"dp_bh_power20",0.931034482758621,0.96551724137931,0.948275862068966,0.948275862068966,0.922413793103448,0.931034482758621,0.931034482758621,0.931034482758621,0.939655172413793,0.931034482758621,0.974137931034483,0.931034482758621,0.853448275862069,0.948275862068966,0.913793103448276,0.922413793103448,0.879310344827586,0.956896551724138,0.922413793103448,0.922413793103448,0.913793103448276,0.96551724137931,0.956896551724138,0.931034482758621,0.948275862068966,0.991379310344828,0.931034482758621,0.96551724137931,0.948275862068966,0.931034482758621,0.948275862068966,0.931034482758621,0.913793103448276,0.913793103448276,0.939655172413793,0.96551724137931,0.905172413793103,0.956896551724138,0.931034482758621,0.974137931034483,0.939655172413793,0.982758620689655,0.939655172413793,0.939655172413793,0.905172413793103,0.922413793103448,0.948275862068966,0.922413793103448,0.956896551724138,0.939655172413793,0.96551724137931,0.982758620689655,0.948275862068966,0.896551724137931,0.913793103448276,0.974137931034483,0.922413793103448,0.931034482758621,0.948275862068966,0.913793103448276,0.956896551724138,0.922413793103448,0.956896551724138,0.922413793103448,0.913793103448276,0.939655172413793,0.974137931034483,0.948275862068966,0.931034482758621,0.948275862068966,0.896551724137931,0.939655172413793,0.974137931034483,0.96551724137931,0.96551724137931,0.922413793103448,0.948275862068966,0.96551724137931,0.96551724137931,0.922413793103448,0.905172413793103,0.939655172413793,0.922413793103448,0.939655172413793,0.956896551724138,0.879310344827586,0.922413793103448,0.948275862068966,0.922413793103448,0.974137931034483,0.931034482758621,0.96551724137931,0.913793103448276,0.948275862068966,0.896551724137931,0.939655172413793,0.948275862068966,0.956896551724138,0.96551724137931,0.905172413793103
"dp_bh_power21",0.931034482758621,0.96551724137931,0.948275862068966,0.948275862068966,0.922413793103448,0.931034482758621,0.931034482758621,0.931034482758621,0.939655172413793,0.931034482758621,0.974137931034483,0.939655172413793,0.853448275862069,0.948275862068966,0.913793103448276,0.922413793103448,0.879310344827586,0.956896551724138,0.922413793103448,0.922413793103448,0.913793103448276,0.96551724137931,0.956896551724138,0.931034482758621,0.948275862068966,0.991379310344828,0.931034482758621,0.96551724137931,0.956896551724138,0.931034482758621,0.948275862068966,0.939655172413793,0.913793103448276,0.913793103448276,0.948275862068966,0.96551724137931,0.913793103448276,0.96551724137931,0.931034482758621,0.974137931034483,0.939655172413793,0.982758620689655,0.939655172413793,0.948275862068966,0.905172413793103,0.922413793103448,0.956896551724138,0.931034482758621,0.96551724137931,0.948275862068966,0.96551724137931,0.982758620689655,0.948275862068966,0.896551724137931,0.922413793103448,0.974137931034483,0.922413793103448,0.931034482758621,0.948275862068966,0.913793103448276,0.956896551724138,0.931034482758621,0.96551724137931,0.922413793103448,0.913793103448276,0.956896551724138,0.974137931034483,0.948275862068966,0.931034482758621,0.948275862068966,0.896551724137931,0.939655172413793,0.974137931034483,0.96551724137931,0.96551724137931,0.931034482758621,0.948275862068966,0.96551724137931,0.96551724137931,0.922413793103448,0.913793103448276,0.939655172413793,0.922413793103448,0.939655172413793,0.956896551724138,0.879310344827586,0.931034482758621,0.96551724137931,0.931034482758621,0.974137931034483,0.931034482758621,0.96551724137931,0.922413793103448,0.948275862068966,0.905172413793103,0.939655172413793,0.948275862068966,0.956896551724138,0.96551724137931,0.905172413793103
