"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0,0,0,0,0,0,0,0,0
"2",0,0,0,0,0,0,0,0,0
"3",0,0,0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0
"11",9.70873786407767e-05,0,0,0,0,0,0,0,0
"12",9.70873786407767e-05,0,0,0,0,0,0,0,0
"13",9.70873786407767e-05,0,0,8.54700854700855e-05,0,0,0,0,0
"14",9.70873786407767e-05,0,0,8.54700854700855e-05,0,0,0,0,0
"15",9.70873786407767e-05,0,0,0.000169491525423729,0,0,0,0,0
"16",9.70873786407767e-05,0,0,0.000169491525423729,0,0,0,0,0
"17",9.70873786407767e-05,0,0,0.000169491525423729,0,0,0,0,0
"18",9.70873786407767e-05,0,0,0.000169491525423729,0,0,0,0,0
"19",9.70873786407767e-05,0,0,0.000169491525423729,0,0,0,0,0
"20",0.000191427001282286,0,0,0.000169491525423729,0,0,8.54700854700855e-05,0,0
"21",0.000284003266491244,0,0,0.000254961610893814,0,0,8.54700854700855e-05,0,0
"22",0.000284003266491244,0,0,0.000341168507445538,0,0,8.54700854700855e-05,0,0
"23",0.000284003266491244,0,0,0.000341168507445538,0,0,8.54700854700855e-05,0,0
"24",0.000284003266491244,0,0,0.000341168507445538,0,0,8.54700854700855e-05,0,0
"25",0.000284003266491244,0,0,0.000341168507445538,0,0,0.000170940170940171,0,0
"26",0.000284003266491244,0,0,0.000341168507445538,0,0,0.000170940170940171,0,0
"27",0.000284003266491244,0,0,0.000341168507445538,0,0,0.000170940170940171,0,0
"28",0.000284003266491244,0,0,0.000341168507445538,0,0,0.000170940170940171,0,0
"29",0.000284003266491244,0,0,0.000341168507445538,0,0,0.000256410256410256,0,0
"30",0.000284003266491244,0,0,0.000341168507445538,0,0,0.000256410256410256,0,0
