"","V1","V2","V3","V4"
"result.1",0.29,0,0.89,0.89
"result.2",0.35,0,0.89,0.86
"result.3",0.36,0,0.96,0.94
"result.4",0.39,0,0.88,0.88
"result.5",0.25,0,0.93,0.91
"result.6",0.51,0,0.95,0.94
"result.7",0.36,0,0.97,0.94
"result.8",0.35,0,0.9,0.9
"result.9",0.25,0,0.96,0.95
"result.10",0.39,0,0.93,0.92
"result.11",0.34,0,0.91,0.92
"result.12",0.38,0,0.92,0.91
"result.13",0.34,0,0.92,0.9
"result.14",0.39,0,0.94,0.93
"result.15",0.38,0,0.96,0.96
"result.16",0.31,0,0.96,0.94
"result.17",0.41,0,0.97,0.96
"result.18",0.28,0,0.95,0.95
"result.19",0.3,0,0.96,0.94
"result.20",0.28,0,0.95,0.95
"result.21",0.38,0,0.91,0.9
"result.22",0.39,0,0.96,0.96
"result.23",0.33,0,0.91,0.91
"result.24",0.35,0,0.9,0.9
"result.25",0.27,0,0.91,0.9
"result.26",0.32,0,0.94,0.91
"result.27",0.32,0,0.96,0.94
"result.28",0.28,0,0.98,0.97
"result.29",0.46,0,0.94,0.92
"result.30",0.43,0,0.93,0.92
"result.31",0.35,0,0.98,0.96
"result.32",0.35,0,0.89,0.9
"result.33",0.33,0,0.92,0.92
"result.34",0.32,0,0.9,0.88
"result.35",0.31,0,0.96,0.95
"result.36",0.41,0,0.92,0.92
"result.37",0.28,0,0.91,0.89
"result.38",0.26,0,0.96,0.9
"result.39",0.32,0,0.88,0.87
"result.40",0.28,0,0.89,0.88
"result.41",0.34,0,0.93,0.88
"result.42",0.35,0,0.92,0.91
"result.43",0.3,0,0.91,0.89
"result.44",0.44,0,0.92,0.93
"result.45",0.4,0,0.96,0.93
"result.46",0.38,0,0.95,0.94
"result.47",0.32,0,0.88,0.89
"result.48",0.27,0,0.9,0.88
"result.49",0.37,0,0.96,0.96
"result.50",0.3,0,0.96,0.95
"result.51",0.42,0,0.92,0.91
"result.52",0.29,0,0.95,0.93
"result.53",0.38,0,0.99,0.97
"result.54",0.31,0,0.95,0.95
"result.55",0.45,0,0.89,0.88
"result.56",0.36,0,0.96,0.95
"result.57",0.4,0,0.91,0.91
"result.58",0.26,0,0.95,0.94
"result.59",0.31,0,0.89,0.88
"result.60",0.34,0,0.93,0.92
"result.61",0.4,0,0.9,0.91
"result.62",0.35,0,0.95,0.93
"result.63",0.42,0,0.94,0.94
"result.64",0.35,0,0.95,0.94
"result.65",0.37,0,0.9,0.9
"result.66",0.32,0,0.88,0.86
"result.67",0.36,0,0.96,0.95
"result.68",0.43,0,0.88,0.87
"result.69",0.38,0,0.9,0.9
"result.70",0.31,0,0.96,0.94
"result.71",0.36,0,0.95,0.91
"result.72",0.38,0,0.9,0.9
"result.73",0.36,0,0.91,0.9
"result.74",0.47,0,0.92,0.92
"result.75",0.34,0,0.95,0.94
"result.76",0.45,0,0.94,0.93
"result.77",0.25,0,0.94,0.93
"result.78",0.37,0,0.95,0.95
"result.79",0.38,0,0.96,0.96
"result.80",0.46,0,0.95,0.95
"result.81",0.34,0,0.94,0.91
"result.82",0.31,0,0.94,0.92
"result.83",0.45,0,0.88,0.88
"result.84",0.21,0,0.94,0.93
"result.85",0.33,0,0.88,0.87
"result.86",0.45,0,0.93,0.93
"result.87",0.28,0,0.91,0.88
"result.88",0.4,0,0.91,0.92
"result.89",0.45,0,0.93,0.94
"result.90",0.29,0,0.92,0.9
"result.91",0.16,0,0.93,0.92
"result.92",0.45,0,0.98,0.98
"result.93",0.37,0,0.92,0.88
"result.94",0.42,0,0.97,0.97
"result.95",0.4,0,0.93,0.91
"result.96",0.37,0,0.92,0.92
"result.97",0.32,0,0.96,0.96
"result.98",0.27,0,0.91,0.84
"result.99",0.33,0,0.91,0.89
"result.100",0.32,0,0.96,0.96
