"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0.04375,0.0195833333333333,0,0.682916666666667,0.287833333333333,0,0.951666666666666,0.733333333333334,0.371916666666667
"2",0.463083333333333,0.0324166666666667,0,0.897916666666666,0.363,0.2265,0.984833333333333,0.792333333333333,0.83175
"3",0.599416666666667,0.04375,0.0065,0.927,0.416416666666667,0.437833333333333,0.989249999999999,0.823833333333333,0.897583333333333
"4",0.674666666666667,0.0520833333333333,0.0255833333333333,0.942166666666667,0.45475,0.581416666666666,0.991666666666666,0.845166666666667,0.915
"5",0.712583333333333,0.0615,0.0488333333333333,0.95525,0.4845,0.661083333333333,0.993333333333333,0.861416666666666,0.925333333333334
"6",0.73275,0.0703333333333334,0.0724166666666667,0.960833333333333,0.506583333333333,0.71075,0.9945,0.871583333333333,0.93425
"7",0.749583333333333,0.0769166666666667,0.0879166666666667,0.966333333333333,0.526833333333333,0.739,0.9955,0.881,0.94175
"8",0.765916666666667,0.0856666666666667,0.116416666666667,0.97,0.547583333333333,0.77025,0.996416666666666,0.890416666666667,0.94575
"9",0.778416666666667,0.0943333333333333,0.141416666666667,0.972083333333333,0.56425,0.789583333333333,0.99725,0.8965,0.948166666666666
"10",0.7885,0.105833333333333,0.1675,0.973916666666666,0.579916666666667,0.801833333333334,0.997583333333333,0.902166666666667,0.95125
"11",0.797583333333334,0.114666666666667,0.218833333333333,0.975166666666666,0.59525,0.814833333333334,0.997916666666666,0.9075,0.953666666666667
"12",0.8085,0.12325,0.242833333333333,0.976916666666666,0.6095,0.821083333333333,0.998333333333333,0.912333333333333,0.956583333333333
"13",0.81575,0.131666666666667,0.268583333333333,0.97825,0.6195,0.828583333333333,0.998416666666666,0.916333333333333,0.958666666666666
"14",0.823666666666667,0.13675,0.284166666666667,0.979666666666666,0.629833333333333,0.832416666666667,0.9985,0.920416666666667,0.96
"15",0.828666666666666,0.145333333333333,0.296083333333333,0.980916666666666,0.640666666666666,0.83825,0.998833333333333,0.923333333333333,0.9605
"16",0.8335,0.153416666666667,0.318916666666667,0.981666666666666,0.648916666666667,0.840916666666667,0.998916666666667,0.926416666666667,0.960833333333333
"17",0.838416666666667,0.16125,0.3325,0.981916666666666,0.658083333333333,0.845833333333333,0.999,0.928333333333333,0.961416666666666
"18",0.843,0.167166666666667,0.34825,0.982666666666666,0.664583333333333,0.848333333333333,0.999083333333333,0.9305,0.962083333333333
"19",0.846833333333333,0.17225,0.355833333333333,0.9835,0.671666666666667,0.852166666666667,0.999166666666667,0.933333333333333,0.96225
"20",0.85125,0.176833333333333,0.374666666666667,0.984666666666666,0.678416666666667,0.855,0.999333333333333,0.935833333333333,0.962416666666666
"21",0.855,0.182416666666667,0.382916666666667,0.985333333333333,0.686333333333333,0.856833333333333,0.999333333333333,0.937333333333333,0.962583333333333
"22",0.857583333333333,0.187333333333333,0.388416666666667,0.985833333333333,0.6935,0.85825,0.999333333333333,0.939666666666667,0.962916666666666
"23",0.8615,0.193416666666667,0.394583333333333,0.9865,0.6995,0.859666666666666,0.999333333333333,0.941583333333334,0.963249999999999
"24",0.86425,0.198916666666667,0.4055,0.98675,0.705416666666667,0.861083333333333,0.999416666666667,0.942666666666667,0.963333333333333
"25",0.868583333333333,0.2065,0.41025,0.987416666666666,0.7095,0.862083333333333,0.999416666666667,0.94375,0.963416666666666
"26",0.871333333333333,0.21225,0.414833333333333,0.987833333333333,0.71525,0.862416666666667,0.999416666666667,0.945333333333334,0.963499999999999
"27",0.874083333333333,0.21675,0.418416666666667,0.988083333333333,0.719083333333333,0.863166666666667,0.999416666666667,0.946333333333334,0.963583333333333
"28",0.876333333333334,0.222083333333333,0.423083333333333,0.988833333333333,0.723666666666666,0.863416666666667,0.999416666666667,0.9475,0.963583333333333
"29",0.87775,0.2285,0.426583333333333,0.989166666666666,0.728583333333333,0.8645,0.999416666666667,0.948666666666667,0.963583333333333
"30",0.880083333333333,0.2335,0.429916666666667,0.989416666666666,0.732916666666667,0.865,0.999416666666667,0.949416666666667,0.963583333333333
