"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"1",0.5706,0.5523,0.5529,0.5423,0.5075,0.4842,0.4144,0.3248,0.1173
"2",0.2004,0.051,1e-04,0,0,0,0,0,0
"3",0.5482,0.5467,0.5415,0.5459,0.5359,0.5298,0.5554,0.5463,0.5433
"4",0.5515,0.5472,0.5418,0.5455,0.5361,0.5269,0.5505,0.5241,0.4707
