"","V1","V2","V3","V4"
"result.1",0.612,0,0.928,0.928
"result.2",0.624,0,0.96,0.96
"result.3",0.596,0,0.94,0.936
"result.4",0.6,0,0.948,0.948
"result.5",0.608,0,0.948,0.96
"result.6",0.612,0,0.972,0.972
"result.7",0.616,0,0.964,0.964
"result.8",0.596,0,0.928,0.928
"result.9",0.608,0,0.932,0.932
"result.10",0.64,0,0.952,0.948
"result.11",0.608,0,0.956,0.96
"result.12",0.652,0,0.948,0.948
"result.13",0.548,0,0.94,0.94
"result.14",0.6,0,0.956,0.956
"result.15",0.604,0,0.964,0.96
"result.16",0.688,0,0.972,0.972
"result.17",0.664,0,0.96,0.96
"result.18",0.588,0,0.924,0.924
"result.19",0.584,0,0.94,0.94
"result.20",0.588,0,0.924,0.924
"result.21",0.648,0,0.964,0.96
"result.22",0.616,0,0.916,0.916
"result.23",0.56,0,0.948,0.944
"result.24",0.616,0,0.956,0.952
"result.25",0.628,0,0.916,0.92
"result.26",0.672,0,0.96,0.96
"result.27",0.66,0,0.952,0.952
"result.28",0.608,0,0.896,0.896
"result.29",0.64,0,0.952,0.952
"result.30",0.656,0,0.968,0.968
"result.31",0.648,0,0.984,0.988
"result.32",0.604,0,0.944,0.944
"result.33",0.592,0,0.948,0.948
"result.34",0.656,0,0.944,0.944
"result.35",0.644,0,0.972,0.972
"result.36",0.588,0,0.944,0.944
"result.37",0.588,0,0.948,0.948
"result.38",0.584,0,0.96,0.96
"result.39",0.608,0,0.944,0.96
"result.40",0.668,0,0.964,0.952
"result.41",0.652,0,0.964,0.964
"result.42",0.608,0,0.972,0.972
"result.43",0.644,0,0.92,0.924
"result.44",0.616,0,0.952,0.944
"result.45",0.64,0,0.952,0.944
"result.46",0.656,0,0.944,0.944
"result.47",0.688,0,0.952,0.952
"result.48",0.572,0,0.924,0.924
"result.49",0.62,0,0.94,0.948
"result.50",0.652,0,0.928,0.932
"result.51",0.564,0,0.948,0.948
"result.52",0.64,0,0.98,0.98
"result.53",0.596,0,0.968,0.968
"result.54",0.584,0,0.952,0.956
"result.55",0.588,0,0.972,0.972
"result.56",0.592,0,0.936,0.932
"result.57",0.636,0,0.952,0.948
"result.58",0.58,0,0.948,0.952
"result.59",0.664,0,0.952,0.952
"result.60",0.592,0,0.936,0.932
"result.61",0.652,0,0.972,0.972
"result.62",0.668,0,0.964,0.964
"result.63",0.692,0,0.976,0.976
"result.64",0.664,0,0.96,0.964
"result.65",0.6,0,0.932,0.932
"result.66",0.596,0,0.936,0.936
"result.67",0.66,0,0.976,0.976
"result.68",0.612,0,0.98,0.98
"result.69",0.64,0,0.976,0.976
"result.70",0.58,0,0.96,0.96
"result.71",0.592,0,0.924,0.928
"result.72",0.536,0,0.96,0.96
"result.73",0.596,0,0.956,0.964
"result.74",0.632,0,0.94,0.94
"result.75",0.636,0,0.968,0.968
"result.76",0.664,0,0.948,0.944
"result.77",0.584,0,0.968,0.968
"result.78",0.596,0,0.94,0.94
"result.79",0.596,0,0.944,0.948
"result.80",0.608,0,0.976,0.976
"result.81",0.676,0,0.952,0.952
"result.82",0.576,0,0.928,0.928
"result.83",0.596,0,0.96,0.956
"result.84",0.588,0,0.948,0.956
"result.85",0.66,0,0.94,0.944
"result.86",0.608,0,0.948,0.948
"result.87",0.628,0,0.96,0.964
"result.88",0.624,0,0.964,0.96
"result.89",0.604,0,0.94,0.948
"result.90",0.676,0,0.944,0.944
"result.91",0.608,0,0.964,0.964
"result.92",0.62,0,0.944,0.94
"result.93",0.66,0,0.952,0.952
"result.94",0.608,0,0.932,0.928
"result.95",0.656,0,0.956,0.956
"result.96",0.616,0,0.948,0.952
"result.97",0.632,0,0.956,0.96
"result.98",0.66,0,0.96,0.96
"result.99",0.6,0,0.932,0.936
"result.100",0.64,0,0.952,0.948
